Key,System name,School name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6060107,BANKS COUNTY,BANKS CO ELEM,224,833.31,7.1,62.9,29.9,92.9,224,836.04,10.3,55.4,34.4,89.7,224,829.96,18.3,55.4,26.3,81.7,224,832.67,12.1,56.7,31.3,87.9,224,818.34,22.8,65.6,11.6,77.2
6070105,BARROW COUNTY,COUNTY LINE E,155,830.21,10.3,61.9,27.7,89.7,155,822.48,20.6,60.0,19.4,79.4,155,820.52,29.0,50.3,20.6,71.0,155,833.15,18.1,47.7,34.2,81.9,153,819.36,24.2,62.1,13.7,75.8
6070189,BARROW COUNTY,KENNEDY ELEME,85,829.67,11.8,61.2,27.1,88.2,85,825.13,20.0,55.3,24.7,80.0,85,824.55,22.4,47.1,30.6,77.6,85,824.28,24.7,49.4,25.9,75.3,85,816.69,29.4,60.0,10.6,70.6
6070193,BARROW COUNTY,BRAMLETT ELEM,114,833.72,8.8,55.3,36.0,91.2,114,831.04,8.8,64.9,26.3,91.2,114,824.81,18.4,60.5,21.1,81.6,114,833.35,14.0,54.4,31.6,86.0,114,820.96,21.9,65.8,12.3,78.1
6070205,BARROW COUNTY,BETHLEHEM ELE,160,833.55,7.5,63.8,28.8,92.5,160,826.18,12.5,65.0,22.5,87.5,160,814.93,33.1,51.9,15.0,66.9,160,826.58,19.4,55.0,25.6,80.6,160,818.81,21.3,64.4,14.4,78.8
6070298,BARROW COUNTY,YARGO ELEMENT,123,834.80,8.9,62.6,28.5,91.1,123,832.23,9.8,61.0,29.3,90.2,123,836.63,8.1,56.9,35.0,91.9,122,839.45,11.5,44.3,44.3,88.5,123,824.89,17.1,62.6,20.3,82.9
6071050,BARROW COUNTY,AUBURN ELEMEN,81,829.17,6.2,72.8,21.0,93.8,81,827.85,14.8,58.0,27.2,85.2,81,826.41,27.2,45.7,27.2,72.8,81,819.36,25.9,51.9,22.2,74.1,81,810.58,34.6,59.3,6.2,65.4
6074050,BARROW COUNTY,HOLSENBECK EL,114,825.48,12.3,71.1,16.7,87.7,114,824.93,14.9,60.5,24.6,85.1,114,824.91,27.2,48.2,24.6,72.8,114,827.81,21.1,49.1,29.8,78.9,114,816.96,25.4,60.5,14.0,74.6
6075050,BARROW COUNTY,STATHAM ELEME,126,832.47,6.3,64.3,29.4,93.7,126,828.79,12.7,64.3,23.0,87.3,126,829.93,22.2,44.4,33.3,77.8,126,827.91,16.7,56.3,27.0,83.3,126,820.05,19.0,64.3,16.7,81.0
6080104,BARTOW COUNTY,CLEAR CREEK E,90,829.48,7.8,63.3,28.9,92.2,90,831.13,11.1,57.8,31.1,88.9,90,825.83,26.7,47.8,25.6,73.3,90,828.83,21.1,44.4,34.4,78.9,90,820.76,21.1,60.0,18.9,78.9
6080106,BARTOW COUNTY,PINE LOG ELEM,74,835.86,6.8,60.8,32.4,93.2,74,833.39,14.9,51.4,33.8,85.1,74,840.11,14.9,45.9,39.2,85.1,73,827.08,15.1,56.2,28.8,84.9,73,822.74,21.9,56.2,21.9,78.1
6080107,BARTOW COUNTY,EUHARLEE ELEM,128,831.41,7.0,69.5,23.4,93.0,128,830.91,6.3,66.4,27.3,93.8,128,829.78,17.2,53.9,28.9,82.8,127,826.70,18.1,52.0,29.9,81.9,127,808.26,37.0,58.3,4.7,63.0
6080175,BARTOW COUNTY,WHITE ELEMENT,96,830.55,13.5,61.5,25.0,86.5,96,827.20,13.5,66.7,19.8,86.5,96,834.22,18.8,45.8,35.4,81.3,96,837.10,18.8,38.5,42.7,81.3,96,809.41,30.2,64.6,5.2,69.8
6080177,BARTOW COUNTY,ADAIRSVILLE E,124,828.03,11.3,64.5,24.2,88.7,124,825.25,14.5,63.7,21.8,85.5,126,819.48,34.1,45.2,20.6,65.9,126,819.54,27.8,51.6,20.6,72.2,124,815.83,22.6,70.2,7.3,77.4
6080186,BARTOW COUNTY,MISSION ROAD,82,831.24,8.5,62.2,29.3,91.5,82,827.29,13.4,62.2,24.4,86.6,82,827.94,20.7,57.3,22.0,79.3,82,821.89,26.8,51.2,22.0,73.2,82,806.05,43.9,52.4,3.7,56.1
6080196,BARTOW COUNTY,ALLATOONA ELE,75,830.69,16.0,60.0,24.0,84.0,75,829.20,14.7,58.7,26.7,85.3,75,835.09,16.0,45.3,38.7,84.0,75,820.91,22.7,56.0,21.3,77.3,75,813.88,25.3,65.3,9.3,74.7
6080296,BARTOW COUNTY,KINGSTON ELEM,93,831.92,7.5,65.6,26.9,92.5,92,836.89,7.6,53.3,39.1,92.4,92,830.21,17.4,53.3,29.3,82.6,90,833.84,15.6,52.2,32.2,84.4,90,827.02,22.2,46.7,31.1,77.8
6080377,BARTOW COUNTY,HAMILTON CROS,114,830.66,14.9,52.6,32.5,85.1,114,826.90,14.9,58.8,26.3,85.1,115,832.40,21.7,40.0,38.3,78.3,115,819.13,29.6,47.0,23.5,70.4,114,812.13,28.9,60.5,10.5,71.1
6080396,BARTOW COUNTY,TAYLORSVILLE,88,842.00,5.7,53.4,40.9,94.3,88,840.48,5.7,48.9,45.5,94.3,88,854.68,10.2,28.4,61.4,89.8,88,855.88,5.7,27.3,67.0,94.3,88,832.43,17.0,50.0,33.0,83.0
6081052,BARTOW COUNTY,CLOVERLEAF EL,88,838.59,9.1,51.1,39.8,90.9,88,840.19,8.0,46.6,45.5,92.0,88,842.03,15.9,36.4,47.7,84.1,88,829.78,25.0,38.6,36.4,75.0,88,823.92,28.4,44.3,27.3,71.6
6082052,BARTOW COUNTY,EMERSON ELEME,62,828.40,11.3,64.5,24.2,88.7,62,826.71,17.7,67.7,14.5,82.3,62,841.18,11.3,43.5,45.2,88.7,61,819.74,21.3,57.4,21.3,78.7,61,809.46,31.1,67.2,1.6,68.9
6091050,BEN HILL COUNTY,BEN HILL CO E,249,826.22,13.7,65.1,21.3,86.3,248,825.46,14.9,63.7,21.4,85.1,249,821.62,27.7,51.0,21.3,72.3,247,823.81,26.3,44.9,28.7,73.7,247,818.99,29.6,49.0,21.5,70.4
6100195,BERRIEN COUNTY,BERRIEN ELEME,254,832.31,7.1,67.3,25.6,92.9,255,832.15,8.6,65.5,25.9,91.4,254,830.47,20.1,52.4,27.6,79.9,254,835.52,12.6,51.6,35.8,87.4,254,817.82,21.3,66.5,12.2,78.7
6110103,BIBB COUNTY,SKYVIEW ELEME,89,831.37,11.2,59.6,29.2,88.8,90,828.42,12.2,64.4,23.3,87.8,90,841.78,10.0,46.7,43.3,90.0,89,817.81,28.1,52.8,19.1,71.9,89,813.27,31.5,60.7,7.9,68.5
6110104,BIBB COUNTY,BURDELL ELEME,87,811.93,31.0,57.5,11.5,69.0,87,812.79,27.6,63.2,9.2,72.4,87,803.33,47.1,39.1,13.8,52.9,87,797.78,52.9,37.9,9.2,47.1,87,798.29,54.0,42.5,3.4,46.0
6110109,BIBB COUNTY,BRUCE ELEMENT,73,807.12,38.4,50.7,11.0,61.6,73,810.07,30.1,65.8,4.1,69.9,73,792.64,56.2,35.6,8.2,43.8,72,790.49,62.5,31.9,5.6,37.5,72,789.90,73.6,26.4,0.0,26.4
6110203,BIBB COUNTY,VINEVILLE ACA,70,833.56,10.0,55.7,34.3,90.0,70,830.91,7.1,72.9,20.0,92.9,70,831.64,8.6,62.9,28.6,91.4,70,825.17,28.6,37.1,34.3,71.4,70,819.53,24.3,60.0,15.7,75.7
6110307,BIBB COUNTY,PRICE EDUCATI,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--
6110383,BIBB COUNTY,WILLIAMS ELEM,50,808.06,38.0,62.0,0.0,62.0,50,810.52,32.0,56.0,12.0,68.0,50,795.88,54.0,40.0,6.0,46.0,50,792.14,58.0,38.0,4.0,42.0,49,789.39,73.5,26.5,0.0,26.5
6110405,BIBB COUNTY,ROSA TAYLOR E,70,828.81,14.3,58.6,27.1,85.7,70,823.10,21.4,52.9,25.7,78.6,70,819.59,30.0,50.0,20.0,70.0,69,822.81,29.0,46.4,24.6,71.0,69,814.20,26.1,63.8,10.1,73.9
6110605,BIBB COUNTY,HERITAGE ELEM,123,826.70,13.0,68.3,18.7,87.0,123,822.64,19.5,65.0,15.4,80.5,123,819.76,24.4,57.7,17.9,75.6,123,820.98,22.8,54.5,22.8,77.2,123,811.33,27.6,68.3,4.1,72.4
6110705,BIBB COUNTY,UNION ELEMENT,98,804.85,41.8,54.1,4.1,58.2,98,807.74,35.7,59.2,5.1,64.3,97,794.88,57.7,37.1,5.2,42.3,98,791.04,64.3,27.6,8.2,35.7,97,788.91,72.2,26.8,1.0,27.8
6110805,BIBB COUNTY,RILEY ELEMENT,66,809.38,36.4,60.6,3.0,63.6,66,806.77,39.4,51.5,9.1,60.6,66,790.44,59.1,31.8,9.1,40.9,66,782.89,78.8,21.2,0.0,21.2,66,785.05,84.8,15.2,0.0,15.2
6110905,BIBB COUNTY,MORGAN ELEMEN,66,822.27,15.2,72.7,12.1,84.8,66,822.05,13.6,68.2,18.2,86.4,66,814.70,31.8,53.0,15.2,68.2,66,799.52,50.0,40.9,9.1,50.0,66,795.42,60.6,39.4,0.0,39.4
6111005,BIBB COUNTY,BROOKDALE ELE,71,814.07,23.9,67.6,8.5,76.1,71,811.83,29.6,60.6,9.9,70.4,71,798.62,53.5,39.4,7.0,46.5,71,798.31,54.9,38.0,7.0,45.1,71,794.97,63.4,36.6,0.0,36.6
6111050,BIBB COUNTY,ALEXANDER II,77,840.83,3.9,58.4,37.7,96.1,77,842.83,3.9,53.2,42.9,96.1,77,837.75,18.2,44.2,37.7,81.8,75,857.65,6.7,30.7,62.7,93.3,75,832.53,13.3,50.7,36.0,86.7
6111054,BIBB COUNTY,BERND ELEMENT,77,816.42,22.1,68.8,9.1,77.9,77,810.26,27.3,71.4,1.3,72.7,77,805.84,44.2,45.5,10.4,55.8,78,801.08,48.7,46.2,5.1,51.3,77,795.38,59.7,39.0,1.3,40.3
6111058,BIBB COUNTY,KING DANFORTH,46,804.67,45.7,47.8,6.5,54.3,46,800.50,47.8,50.0,2.2,52.2,46,789.04,65.2,32.6,2.2,34.8,46,779.67,69.6,30.4,0.0,30.4,46,787.35,71.7,28.3,0.0,28.3
6111067,BIBB COUNTY,PORTER ELEMEN,98,834.46,11.2,55.1,33.7,88.8,97,833.41,8.2,58.8,33.0,91.8,98,834.81,18.4,42.9,38.8,81.6,98,833.32,19.4,39.8,40.8,80.6,96,817.10,28.1,60.4,11.5,71.9
6111105,BIBB COUNTY,SPRINGDALE EL,98,842.85,6.1,50.0,43.9,93.9,98,839.45,6.1,51.0,42.9,93.9,98,837.05,14.3,46.9,38.8,85.7,98,838.60,15.3,43.9,40.8,84.7,98,827.60,16.3,60.2,23.5,83.7
6111205,BIBB COUNTY,CARTER ELEMEN,91,825.09,17.6,58.2,24.2,82.4,91,819.45,23.1,61.5,15.4,76.9,91,813.76,33.0,48.4,18.7,67.0,91,820.91,31.9,40.7,27.5,68.1,91,817.86,29.7,53.8,16.5,70.3
6111305,BIBB COUNTY,LANE ELEMENTA,79,835.63,3.8,70.9,25.3,96.2,79,833.47,2.5,65.8,31.6,97.5,79,811.59,36.7,45.6,17.7,63.3,79,827.67,19.0,53.2,27.8,81.0,79,825.09,20.3,60.8,19.0,79.7
6112060,BIBB COUNTY,HARTLEY ELEME,71,808.00,33.8,60.6,5.6,66.2,71,806.68,43.7,50.7,5.6,56.3,71,784.24,70.4,25.4,4.2,29.6,71,779.01,80.3,16.9,2.8,19.7,71,786.04,77.5,22.5,0.0,22.5
6113060,BIBB COUNTY,HEARD ELEMENT,109,825.41,19.3,58.7,22.0,80.7,109,826.00,13.8,59.6,26.6,86.2,109,822.35,29.4,45.9,24.8,70.6,109,824.50,27.5,36.7,35.8,72.5,109,821.94,22.9,56.9,20.2,77.1
6113062,BIBB COUNTY,JONES ELEMENT,67,815.04,26.9,64.2,9.0,73.1,67,813.06,31.3,58.2,10.4,68.7,67,808.07,38.8,52.2,9.0,61.2,67,798.94,52.2,40.3,7.5,47.8,67,794.63,67.2,26.9,6.0,32.8
6113067,BIBB COUNTY,INGRAM PYE EL,91,798.99,57.1,40.7,2.2,42.9,91,794.09,58.2,41.8,0.0,41.8,91,782.77,67.0,31.9,1.1,33.0,90,776.42,85.6,13.3,1.1,14.4,89,784.37,78.7,21.3,0.0,21.3
6114052,BIBB COUNTY,BARDEN ELEMEN,65,812.85,32.3,55.4,12.3,67.7,65,809.97,30.8,56.9,12.3,69.2,65,793.06,55.4,38.5,6.2,44.6,65,787.54,70.8,24.6,4.6,29.2,65,786.78,75.4,24.6,0.0,24.6
6115054,BIBB COUNTY,BURGHARD ELEM,63,807.76,39.7,52.4,7.9,60.3,63,807.65,33.3,57.1,9.5,66.7,63,799.46,57.1,36.5,6.3,42.9,62,788.11,67.7,24.2,8.1,32.3,60,786.80,76.7,23.3,0.0,23.3
6115067,BIBB COUNTY,RICE ELEMENTA,72,808.79,29.2,63.9,6.9,70.8,72,809.46,30.6,65.3,4.2,69.4,72,791.63,65.3,30.6,4.2,34.7,72,795.04,54.2,40.3,5.6,45.8,72,792.26,66.7,31.9,1.4,33.3
6120197,BLECKLEY COUNTY,BLECKLEY CO E,168,843.88,1.2,54.8,44.0,98.8,168,847.97,0.6,48.8,50.6,99.4,168,845.07,14.3,42.9,42.9,85.7,168,846.80,7.7,41.1,51.2,92.3,168,832.56,7.1,67.9,25.0,92.9
6130110,BRANTLEY COUNTY,ATKINSON ELEM,97,828.96,14.4,58.8,26.8,85.6,97,826.80,10.3,70.1,19.6,89.7,97,824.87,19.6,62.9,17.5,80.4,97,842.58,10.3,46.4,43.3,89.7,97,825.45,22.7,53.6,23.7,77.3
6130294,BRANTLEY COUNTY,NAHUNTA ELEME,92,834.29,6.5,55.4,38.0,93.5,92,830.93,5.4,69.6,25.0,94.6,92,828.35,9.8,64.1,26.1,90.2,92,868.27,3.3,23.9,72.8,96.7,92,833.71,8.7,60.9,30.4,91.3
6132050,BRANTLEY COUNTY,HOBOKEN ELEME,76,841.63,0.0,64.5,35.5,100.0,76,843.71,6.6,46.1,47.4,93.4,76,837.97,7.9,53.9,38.2,92.1,76,874.30,1.3,21.1,77.6,98.7,76,852.17,2.6,43.4,53.9,97.4
6140193,BROOKS COUNTY,QUITMAN ELEME,111,826.56,9.9,68.5,21.6,90.1,111,828.64,6.3,73.9,19.8,93.7,111,820.42,26.1,61.3,12.6,73.9,111,815.46,31.5,49.5,18.9,68.5,111,806.16,41.4,54.1,4.5,58.6
6140393,BROOKS COUNTY,NORTH BROOKS,75,827.75,9.3,72.0,18.7,90.7,75,824.00,12.0,70.7,17.3,88.0,75,838.39,9.3,60.0,30.7,90.7,75,830.43,14.7,54.7,30.7,85.3,75,816.56,22.7,64.0,13.3,77.3
6150101,BRYAN COUNTY,DR GEORGE WA,420,843.21,3.3,54.0,42.6,96.7,420,840.51,5.2,55.2,39.5,94.8,420,839.75,13.1,47.9,39.0,86.9,420,851.88,8.6,35.5,56.0,91.4,419,835.62,10.7,57.5,31.7,89.3
6150286,BRYAN COUNTY,BRYAN CO ELEM,133,832.72,9.0,56.4,34.6,91.0,133,833.92,12.8,51.1,36.1,87.2,133,831.68,16.5,51.9,31.6,83.5,133,837.38,12.8,46.6,40.6,87.2,133,824.80,18.0,63.2,18.8,82.0
6160100,BULLOCH COUNTY,MILL CREEK EL,84,827.98,10.7,67.9,21.4,89.3,84,825.40,17.9,59.5,22.6,82.1,84,819.51,34.5,38.1,27.4,65.5,84,832.54,19.0,46.4,34.5,81.0,84,817.30,29.8,60.7,9.5,70.2
6160107,BULLOCH COUNTY,NEW NEVILS EL,49,843.61,2.0,55.1,42.9,98.0,49,833.24,8.2,61.2,30.6,91.8,49,822.20,32.7,49.0,18.4,67.3,49,836.45,12.2,49.0,38.8,87.8,49,814.29,22.4,75.5,2.0,77.6
6160199,BULLOCH COUNTY,LANGSTON C EL,81,824.67,12.3,72.8,14.8,87.7,81,825.99,13.6,67.9,18.5,86.4,82,813.09,35.4,51.2,13.4,64.6,82,821.73,23.2,51.2,25.6,76.8,81,807.02,37.0,60.5,2.5,63.0
6160200,BULLOCH COUNTY,BROOKLET ELEM,97,839.38,3.1,60.8,36.1,96.9,97,833.88,7.2,62.9,29.9,92.8,97,834.91,11.3,60.8,27.8,88.7,97,837.65,8.2,50.5,41.2,91.8,97,822.18,14.4,66.0,19.6,85.6
6160399,BULLOCH COUNTY,PORTAL ELEMEN,64,836.75,7.8,57.8,34.4,92.2,64,831.86,15.6,56.3,28.1,84.4,64,820.41,29.7,50.0,20.3,70.3,64,839.66,17.2,42.2,40.6,82.8,64,821.25,29.7,50.0,20.3,70.3
6162050,BULLOCH COUNTY,BRYANT ELEMEN,100,841.25,6.0,49.0,45.0,94.0,100,841.39,7.0,52.0,41.0,93.0,100,837.07,18.0,44.0,38.0,82.0,100,830.34,20.0,45.0,35.0,80.0,100,816.37,29.0,57.0,14.0,71.0
6163054,BULLOCH COUNTY,STILSON ELEME,61,826.75,8.2,72.1,19.7,91.8,61,822.93,18.0,67.2,14.8,82.0,61,815.46,34.4,50.8,14.8,65.6,61,832.79,13.1,52.5,34.4,86.9,61,816.57,23.0,62.3,14.8,77.0
6165050,BULLOCH COUNTY,MATTIE LIVELY,81,835.68,6.2,61.7,32.1,93.8,81,836.59,6.2,55.6,38.3,93.8,81,827.65,24.7,48.1,27.2,75.3,81,835.74,16.0,42.0,42.0,84.0,81,830.60,19.8,49.4,30.9,80.2
6165054,BULLOCH COUNTY,SALLIE ZETTER,78,841.03,2.6,55.1,42.3,97.4,78,836.45,6.4,57.7,35.9,93.6,78,841.13,14.1,44.9,41.0,85.9,77,867.34,5.2,23.4,71.4,94.8,77,851.81,7.8,37.7,54.5,92.2
6170104,BURKE COUNTY,BLAKENEY ELEM,263,826.00,15.6,63.1,21.3,84.4,263,823.17,17.1,63.5,19.4,82.9,263,816.36,31.9,49.0,19.0,68.1,262,810.48,40.1,43.5,16.4,59.9,262,807.89,41.2,52.3,6.5,58.8
6170196,BURKE COUNTY,S G A ELEMENT,55,821.45,16.4,70.9,12.7,83.6,55,825.51,14.5,63.6,21.8,85.5,55,823.76,32.7,36.4,30.9,67.3,55,806.76,36.4,58.2,5.5,63.6,55,800.82,49.1,45.5,5.5,50.9
6180104,BUTTS COUNTY,HAMPTON L DAU,81,829.30,6.2,76.5,17.3,93.8,81,827.26,6.2,74.1,19.8,93.8,81,827.33,14.8,60.5,24.7,85.2,80,831.96,16.3,47.5,36.3,83.8,81,814.72,16.0,80.2,3.7,84.0
6180108,BUTTS COUNTY,STARK ELEMENT,97,826.01,13.4,66.0,20.6,86.6,97,826.88,17.5,56.7,25.8,82.5,97,816.47,30.9,52.6,16.5,69.1,97,810.70,33.0,53.6,13.4,67.0,97,803.80,40.2,57.7,2.1,59.8
6180111,BUTTS COUNTY,NEW JACKSON E,76,825.13,19.7,57.9,22.4,80.3,76,822.55,19.7,61.8,18.4,80.3,75,815.65,26.7,57.3,16.0,73.3,75,817.25,34.7,40.0,25.3,65.3,75,804.15,36.0,64.0,0.0,64.0
6190179,CALHOUN COUNTY,CALHOUN CO EL,51,826.71,9.8,70.6,19.6,90.2,51,828.98,7.8,66.7,25.5,92.2,51,818.96,29.4,49.0,21.6,70.6,51,826.59,21.6,47.1,31.4,78.4,51,818.37,27.5,54.9,17.6,72.5
6200100,CAMDEN COUNTY,MAMIE LOU GRO,56,838.46,3.6,60.7,35.7,96.4,57,827.81,7.0,73.7,19.3,93.0,57,838.82,15.8,40.4,43.9,84.2,57,848.14,7.0,38.6,54.4,93.0,57,821.68,15.8,70.2,14.0,84.2
6200110,CAMDEN COUNTY,SAINT MARYS E,97,832.90,9.3,58.8,32.0,90.7,97,836.52,13.4,47.4,39.2,86.6,98,836.85,22.4,39.8,37.8,77.6,98,838.76,16.3,38.8,44.9,83.7,97,825.29,21.6,54.6,23.7,78.4
6200187,CAMDEN COUNTY,CROOKED RIVER,69,838.45,4.3,60.9,34.8,95.7,69,835.22,8.7,58.0,33.3,91.3,70,834.50,10.0,62.9,27.1,90.0,70,843.31,10.0,44.3,45.7,90.0,69,825.04,18.8,60.9,20.3,81.2
6200189,CAMDEN COUNTY,MATILDA HARRI,92,839.57,2.2,59.8,38.0,97.8,92,842.12,7.6,46.7,45.7,92.4,92,846.85,8.7,43.5,47.8,91.3,92,850.29,8.7,39.1,52.2,91.3,92,831.36,12.0,60.9,27.2,88.0
6200192,CAMDEN COUNTY,WOODBINE ELEM,68,826.88,10.3,70.6,19.1,89.7,69,822.38,15.9,72.5,11.6,84.1,69,818.00,26.1,59.4,14.5,73.9,69,823.65,17.4,59.4,23.2,82.6,69,808.25,36.2,56.5,7.2,63.8
6200193,CAMDEN COUNTY,KINGSLAND ELE,84,830.58,11.9,61.9,26.2,88.1,84,827.95,16.7,59.5,23.8,83.3,84,831.39,14.3,57.1,28.6,85.7,84,841.83,8.3,46.4,45.2,91.7,84,817.62,21.4,67.9,10.7,78.6
6200195,CAMDEN COUNTY,DAVID L RAINE,88,832.42,10.2,51.1,38.6,89.8,88,841.58,5.7,50.0,44.3,94.3,88,835.95,18.2,40.9,40.9,81.8,88,842.60,17.0,37.5,45.5,83.0,88,823.73,23.9,55.7,20.5,76.1
6200197,CAMDEN COUNTY,SUGARMILL ELE,79,839.82,3.8,60.8,35.4,96.2,79,839.71,6.3,54.4,39.2,93.7,79,843.33,11.4,48.1,40.5,88.6,79,846.77,6.3,41.8,51.9,93.7,79,828.92,13.9,65.8,20.3,86.1
6200495,CAMDEN COUNTY,MARY LEE CLAR,93,830.22,9.7,64.5,25.8,90.3,93,827.84,15.1,61.3,23.7,84.9,93,821.47,22.6,57.0,20.4,77.4,92,836.38,9.8,56.5,33.7,90.2,92,811.86,31.5,65.2,3.3,68.5
6210202,CANDLER COUNTY,METTER INTERM,141,831.93,8.5,66.7,24.8,91.5,141,833.67,11.3,57.4,31.2,88.7,141,834.69,18.4,44.7,36.9,81.6,141,839.13,12.8,44.0,43.3,87.2,140,828.82,15.7,55.7,28.6,84.3
6220100,CARROLL COUNTY,SHARP CREEK E,98,829.10,11.2,57.1,31.6,88.8,98,826.24,14.3,60.2,25.5,85.7,98,829.67,22.4,40.8,36.7,77.6,98,826.59,25.5,43.9,30.6,74.5,98,809.84,35.7,59.2,5.1,64.3
6220176,CARROLL COUNTY,MOUNT ZION EL,91,830.34,14.3,60.4,25.3,85.7,91,825.74,14.3,60.4,25.3,85.7,91,819.88,29.7,49.5,20.9,70.3,91,828.93,23.1,37.4,39.6,76.9,91,813.12,33.0,53.8,13.2,67.0
6220377,CARROLL COUNTY,ROOPVILLE ELE,55,835.13,5.5,63.6,30.9,94.5,55,832.33,9.1,58.2,32.7,90.9,55,827.15,23.6,43.6,32.7,76.4,55,849.75,5.5,32.7,61.8,94.5,54,830.46,20.4,48.1,31.5,79.6
6220405,CARROLL COUNTY,ITHICA ELEMEN,97,842.45,2.1,60.8,37.1,97.9,97,845.82,2.1,47.4,50.5,97.9,97,843.44,9.3,46.4,44.3,90.7,97,857.09,2.1,32.0,66.0,97.9,97,849.78,4.1,44.3,51.5,95.9
