Key,System name,School name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA,Congressional District
6071050,BARROW COUNTY,AUBURN ELEMEN,82,833.94,13.4,50.0,36.6,86.6,82,833.40,19.5,51.2,29.3,80.5,82,832.76,24.4,39.0,36.6,75.6,82,825.54,29.3,37.8,32.9,70.7,82,819.72,24.4,54.9,20.7,75.6,10,7th
6074050,BARROW COUNTY,HOLSENBECK EL,139,840.76,7.9,51.8,40.3,92.1,138,833.93,11.6,60.1,28.3,88.4,141,837.32,18.4,44.0,37.6,81.6,143,824.49,23.1,47.6,29.4,76.9,143,816.49,28.0,58.0,14.0,72.0,10,7th
6075050,BARROW COUNTY,STATHAM ELEME,128,834.20,13.3,56.3,30.5,86.7,127,827.01,16.5,59.1,24.4,83.5,127,831.27,24.4,39.4,36.2,75.6,129,824.17,24.0,48.8,27.1,76.0,128,815.72,26.6,61.7,11.7,73.4,10,7th
6080104,BARTOW COUNTY,CLEAR CREEK E,99,848.46,4.0,46.5,49.5,96.0,98,842.78,8.2,49.0,42.9,91.8,100,844.34,16.0,38.0,46.0,84.0,99,842.75,8.1,41.4,50.5,91.9,98,834.01,11.2,57.1,31.6,88.8,11,11th
6080106,BARTOW COUNTY,PINE LOG ELEM,67,834.12,11.9,58.2,29.9,88.1,65,831.60,10.8,64.6,24.6,89.2,67,828.27,16.4,56.7,26.9,83.6,67,815.54,32.8,53.7,13.4,67.2,67,807.76,35.8,58.2,6.0,64.2,11,11th
6080107,BARTOW COUNTY,EUHARLEE ELEM,126,841.92,7.1,53.2,39.7,92.9,126,835.90,8.7,60.3,31.0,91.3,126,832.24,17.5,50.8,31.7,82.5,127,820.51,20.5,59.8,19.7,79.5,127,810.60,31.5,63.0,5.5,68.5,11,11th
6080175,BARTOW COUNTY,WHITE ELEMENT,75,841.07,8.0,54.7,37.3,92.0,73,835.66,11.0,54.8,34.2,89.0,75,836.11,14.7,44.0,41.3,85.3,73,825.67,21.9,49.3,28.8,78.1,74,817.81,20.3,70.3,9.5,79.7,11,11th
6080177,BARTOW COUNTY,ADAIRSVILLE E,102,836.64,14.7,51.0,34.3,85.3,102,832.65,12.7,59.8,27.5,87.3,103,831.14,22.3,39.8,37.9,77.7,104,823.49,24.0,49.0,26.9,76.0,103,820.50,24.3,59.2,16.5,75.7,11,11th
6080186,BARTOW COUNTY,MISSION ROAD,103,841.60,5.8,55.3,38.8,94.2,103,838.54,5.8,63.1,31.1,94.2,103,836.62,22.3,40.8,36.9,77.7,102,822.43,24.5,50.0,25.5,75.5,101,823.47,21.8,59.4,18.8,78.2,11,11th
6080196,BARTOW COUNTY,ALLATOONA ELE,80,845.51,1.3,58.8,40.0,98.8,80,840.45,5.0,53.8,41.3,95.0,80,838.50,15.0,47.5,37.5,85.0,80,828.31,20.0,48.8,31.3,80.0,80,821.76,22.5,53.8,23.8,77.5,11,11th
6080296,BARTOW COUNTY,KINGSTON ELEM,85,834.15,8.2,64.7,27.1,91.8,83,828.94,10.8,72.3,16.9,89.2,84,825.89,29.8,38.1,32.1,70.2,85,816.92,30.6,51.8,17.6,69.4,84,811.06,26.2,69.0,4.8,73.8,11,11th
6080377,BARTOW COUNTY,HAMILTON CROS,101,837.93,10.9,53.5,35.6,89.1,100,830.38,15.0,52.0,33.0,85.0,101,830.26,20.8,46.5,32.7,79.2,101,822.06,23.8,51.5,24.8,76.2,100,820.21,22.0,60.0,18.0,78.0,11,11th
6080396,BARTOW COUNTY,TAYLORSVILLE,68,858.75,1.5,29.4,69.1,98.5,67,865.19,1.5,23.9,74.6,98.5,67,872.25,6.0,14.9,79.1,94.0,70,866.81,4.3,20.0,75.7,95.7,70,866.27,5.7,22.9,71.4,94.3,11,11th
6081052,BARTOW COUNTY,CLOVERLEAF EL,101,847.68,3.0,51.5,45.5,97.0,101,843.05,3.0,54.5,42.6,97.0,99,845.91,15.2,38.4,46.5,84.8,99,825.25,24.2,45.5,30.3,75.8,99,819.80,19.2,69.7,11.1,80.8,11,11th
6082052,BARTOW COUNTY,EMERSON ELEME,55,836.89,12.7,52.7,34.5,87.3,55,833.76,7.3,69.1,23.6,92.7,56,847.43,10.7,46.4,42.9,89.3,56,818.30,25.0,57.1,17.9,75.0,56,810.84,30.4,60.7,8.9,69.6,11,11th
6090111,BEN HILL COUNTY,BEN HILL ELEM,236,840.78,4.7,60.2,35.2,95.3,236,837.05,6.4,64.4,29.2,93.6,234,834.56,13.7,53.4,32.9,86.3,240,835.01,11.7,53.3,35.0,88.3,240,828.28,11.7,70.4,17.9,88.3,3,8th
6100195,BERRIEN COUNTY,BERRIEN ELEME,221,848.49,3.6,47.5,48.9,96.4,218,844.45,4.1,52.3,43.6,95.9,220,852.64,9.5,31.8,58.6,90.5,222,842.34,10.4,44.6,45.0,89.6,222,837.90,8.1,55.0,36.9,91.9,3,1st
6110103,BIBB COUNTY,SKYVIEW ELEME,86,840.35,7.0,46.5,46.5,93.0,86,837.15,10.5,50.0,39.5,89.5,86,837.29,19.8,38.4,41.9,80.2,86,828.51,23.3,39.5,37.2,76.7,86,830.77,15.1,54.7,30.2,84.9,8,8th
6110104,BIBB COUNTY,BURDELL ELEME,78,819.68,24.4,56.4,19.2,75.6,78,820.87,21.8,57.7,20.5,78.2,78,810.65,39.7,47.4,12.8,60.3,80,813.25,37.5,41.3,21.3,62.5,80,812.84,28.8,58.8,12.5,71.3,8,8th
6110109,BIBB COUNTY,BRUCE ELEMENT,66,813.56,27.3,59.1,13.6,72.7,66,810.41,31.8,59.1,9.1,68.2,66,807.97,42.4,47.0,10.6,57.6,66,795.29,63.6,33.3,3.0,36.4,66,801.09,48.5,47.0,4.5,51.5,8,8th
6110203,BIBB COUNTY,VINEVILLE ACA,81,838.79,7.4,53.1,39.5,92.6,81,837.47,7.4,58.0,34.6,92.6,81,843.15,14.8,34.6,50.6,85.2,81,827.22,16.0,53.1,30.9,84.0,81,833.01,8.6,67.9,23.5,91.4,8,8th
6110307,BIBB COUNTY,PRICE EDUCATI,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,8,8th
6110383,BIBB COUNTY,WILLIAMS ELEM,50,815.34,30.0,60.0,10.0,70.0,52,814.88,25.0,63.5,11.5,75.0,50,801.78,44.0,48.0,8.0,56.0,51,796.94,56.9,39.2,3.9,43.1,51,796.73,56.9,35.3,7.8,43.1,8,8th
6110405,BIBB COUNTY,ROSA TAYLOR E,92,834.22,13.0,54.3,32.6,87.0,92,830.46,14.1,55.4,30.4,85.9,91,831.84,27.5,37.4,35.2,72.5,92,823.27,31.5,33.7,34.8,68.5,92,822.29,19.6,59.8,20.7,80.4,8,8th
6110407,BIBB COUNTY,MACON HEALTH,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,2,       --,       --,       --,       --,       --,8,8th
6110605,BIBB COUNTY,HERITAGE ELEM,104,833.25,6.7,65.4,27.9,93.3,105,828.55,10.5,61.0,28.6,89.5,105,824.70,21.0,54.3,24.8,79.0,106,819.96,27.4,54.7,17.9,72.6,107,823.88,15.9,69.2,15.0,84.1,8,8th
6110705,BIBB COUNTY,UNION ELEMENT,89,819.22,22.5,57.3,20.2,77.5,92,810.76,33.7,59.8,6.5,66.3,92,819.67,33.7,38.0,28.3,66.3,93,802.02,47.3,44.1,8.6,52.7,93,810.62,31.2,61.3,7.5,68.8,8,8th
6110805,BIBB COUNTY,RILEY ELEMENT,60,808.12,33.3,60.0,6.7,66.7,60,807.25,41.7,53.3,5.0,58.3,60,802.37,53.3,38.3,8.3,46.7,60,785.35,63.3,36.7,0.0,36.7,60,798.55,51.7,48.3,0.0,48.3,8,8th
6110905,BIBB COUNTY,MORGAN ELEMEN,85,822.86,20.0,61.2,18.8,80.0,87,819.72,23.0,63.2,13.8,77.0,87,817.11,29.9,50.6,19.5,70.1,90,807.91,38.9,52.2,8.9,61.1,91,815.75,26.4,63.7,9.9,73.6,8,8th
6111005,BIBB COUNTY,BROOKDALE ELE,68,812.06,32.4,57.4,10.3,67.6,69,811.99,31.9,59.4,8.7,68.1,69,801.68,44.9,49.3,5.8,55.1,71,793.66,50.7,46.5,2.8,49.3,71,787.82,71.8,28.2,0.0,28.2,8,8th
6111050,BIBB COUNTY,ALEXANDER II,101,857.09,1.0,37.6,61.4,99.0,101,852.24,2.0,45.5,52.5,98.0,101,859.80,5.0,32.7,62.4,95.0,101,852.49,5.9,36.6,57.4,94.1,101,853.13,2.0,41.6,56.4,98.0,8,8th
6111054,BIBB COUNTY,BERND ELEMENT,68,833.01,10.3,58.8,30.9,89.7,68,828.90,13.2,64.7,22.1,86.8,68,823.24,26.5,47.1,26.5,73.5,68,818.51,29.4,50.0,20.6,70.6,68,847.63,8.8,36.8,54.4,91.2,8,8th
6111058,BIBB COUNTY,KING DANFORTH,52,803.94,44.2,50.0,5.8,55.8,53,807.25,43.4,43.4,13.2,56.6,52,793.87,59.6,30.8,9.6,40.4,57,781.44,77.2,22.8,0.0,22.8,57,787.21,68.4,31.6,0.0,31.6,8,8th
6111067,BIBB COUNTY,PORTER ELEMEN,68,839.18,14.7,42.6,42.6,85.3,68,835.69,13.2,54.4,32.4,86.8,68,840.16,14.7,50.0,35.3,85.3,69,826.65,24.6,44.9,30.4,75.4,69,834.41,13.0,52.2,34.8,87.0,8,8th
6111105,BIBB COUNTY,SPRINGDALE EL,106,858.88,0.0,45.3,54.7,100.0,107,856.81,0.9,40.2,58.9,99.1,108,860.25,2.8,40.7,56.5,97.2,109,856.15,3.7,38.5,57.8,96.3,108,856.50,2.8,36.1,61.1,97.2,8,8th
6111205,BIBB COUNTY,CARTER ELEMEN,60,837.95,10.0,53.3,36.7,90.0,60,836.33,6.7,61.7,31.7,93.3,60,846.43,8.3,46.7,45.0,91.7,61,828.93,21.3,52.5,26.2,78.7,61,840.97,9.8,54.1,36.1,90.2,8,8th
6111305,BIBB COUNTY,LANE ELEMENTA,85,835.06,7.1,65.9,27.1,92.9,85,836.36,9.4,52.9,37.6,90.6,85,836.25,18.8,41.2,40.0,81.2,87,822.69,16.1,60.9,23.0,83.9,87,833.48,8.0,65.5,26.4,92.0,8,8th
6112060,BIBB COUNTY,HARTLEY ELEME,58,815.57,20.7,74.1,5.2,79.3,58,816.71,24.1,65.5,10.3,75.9,57,801.05,47.4,43.9,8.8,52.6,59,793.69,55.9,39.0,5.1,44.1,59,792.00,72.9,23.7,3.4,27.1,8,8th
6113060,BIBB COUNTY,HEARD ELEMENT,95,836.46,5.3,64.2,30.5,94.7,93,837.01,4.3,69.9,25.8,95.7,94,835.09,12.8,50.0,37.2,87.2,97,831.64,16.5,46.4,37.1,83.5,97,832.30,9.3,69.1,21.6,90.7,8,8th
6113062,BIBB COUNTY,JONES ELEMENT,77,815.71,27.3,62.3,10.4,72.7,77,813.97,27.3,66.2,6.5,72.7,77,806.10,37.7,50.6,11.7,62.3,80,797.61,52.5,40.0,7.5,47.5,80,814.40,27.5,58.8,13.8,72.5,8,8th
6113067,BIBB COUNTY,INGRAM PYE EL,81,809.06,35.8,55.6,8.6,64.2,81,808.77,34.6,53.1,12.3,65.4,84,796.27,54.8,34.5,10.7,45.2,84,789.90,63.1,32.1,4.8,36.9,84,799.05,47.6,50.0,2.4,52.4,8,8th
6114052,BIBB COUNTY,BARDEN ELEMEN,58,814.72,27.6,56.9,15.5,72.4,58,812.76,29.3,58.6,12.1,70.7,59,809.69,35.6,50.8,13.6,64.4,59,794.75,55.9,40.7,3.4,44.1,59,794.14,55.9,44.1,0.0,44.1,8,8th
6115054,BIBB COUNTY,BURGHARD ELEM,56,810.77,35.7,50.0,14.3,64.3,57,806.47,38.6,57.9,3.5,61.4,55,797.04,52.7,32.7,14.5,47.3,58,788.21,67.2,32.8,0.0,32.8,57,796.63,57.9,40.4,1.8,42.1,8,8th
6115067,BIBB COUNTY,RICE ELEMENTA,77,818.05,20.8,64.9,14.3,79.2,77,815.74,27.3,59.7,13.0,72.7,76,819.09,28.9,51.3,19.7,71.1,79,796.00,55.7,39.2,5.1,44.3,79,802.68,46.8,49.4,3.8,53.2,8,8th
6120197,BLECKLEY COUNTY,BLECKLEY CO E,185,844.52,5.9,48.6,45.4,94.1,183,847.08,2.2,49.2,48.6,97.8,184,838.23,14.7,48.4,37.0,85.3,188,840.62,12.2,42.6,45.2,87.8,188,834.43,13.8,52.7,33.5,86.2,6,8th
6130101,BRANTLEY COUNTY,WAYNESVILLE E,96,837.17,6.3,63.5,30.2,93.8,95,830.24,7.4,71.6,21.1,92.6,96,832.42,17.7,49.0,33.3,82.3,95,830.41,15.8,55.8,28.4,84.2,95,818.55,22.1,64.2,13.7,77.9,13,1st
6132050,BRANTLEY COUNTY,HOBOKEN ELEME,86,847.22,3.5,47.7,48.8,96.5,85,843.09,2.4,48.2,49.4,97.6,85,846.08,10.6,38.8,50.6,89.4,85,850.93,5.9,37.6,56.5,94.1,85,838.02,8.2,57.6,34.1,91.8,13,1st
6133050,BRANTLEY COUNTY,NAHUNTA PRIMA,96,839.74,4.2,55.2,40.6,95.8,96,835.43,6.3,66.7,27.1,93.8,96,830.70,19.8,50.0,30.2,80.2,97,840.09,11.3,48.5,40.2,88.7,97,832.13,9.3,67.0,23.7,90.7,13,1st
6140193,BROOKS COUNTY,QUITMAN ELEME,97,828.96,15.5,60.8,23.7,84.5,97,826.18,11.3,68.0,20.6,88.7,97,835.26,19.6,44.3,36.1,80.4,97,816.63,28.9,53.6,17.5,71.1,97,813.35,27.8,61.9,10.3,72.2,3,2nd
6140393,BROOKS COUNTY,NORTH BROOKS,75,830.07,12.0,57.3,30.7,88.0,75,829.03,13.3,66.7,20.0,86.7,75,822.11,32.0,41.3,26.7,68.0,75,821.31,22.7,56.0,21.3,77.3,75,814.80,29.3,58.7,12.0,70.7,3,2nd
6150286,BRYAN COUNTY,BRYAN CO ELEM,126,836.75,10.3,57.9,31.7,89.7,121,837.93,5.8,56.2,38.0,94.2,122,832.07,18.9,52.5,28.7,81.1,127,835.17,12.6,51.2,36.2,87.4,127,832.22,11.8,61.4,26.8,88.2,4,12th
6150302,BRYAN COUNTY,RICHMOND ELEM,443,854.70,2.3,42.7,55.1,97.7,441,848.09,2.9,51.5,45.6,97.1,442,858.06,8.1,34.8,57.0,91.9,448,859.01,4.2,27.5,68.3,95.8,448,851.82,3.1,42.2,54.7,96.9,4,1st
6160100,BULLOCH COUNTY,MILL CREEK EL,99,836.30,5.1,68.7,26.3,94.9,98,829.61,10.2,71.4,18.4,89.8,98,826.21,24.5,48.0,27.6,75.5,104,829.03,14.4,54.8,30.8,85.6,104,821.14,18.3,65.4,16.3,81.7,4,12th
6160107,BULLOCH COUNTY,NEW NEVILS EL,52,854.42,3.8,30.8,65.4,96.2,52,840.73,9.6,48.1,42.3,90.4,52,849.00,11.5,32.7,55.8,88.5,52,855.15,9.6,26.9,63.5,90.4,52,842.85,5.8,55.8,38.5,94.2,4,12th
6160199,BULLOCH COUNTY,LANGSTON C EL,112,835.63,10.7,57.1,32.1,89.3,110,831.48,9.1,66.4,24.5,90.9,110,838.56,15.5,44.5,40.0,84.5,113,823.80,21.2,54.9,23.9,78.8,113,812.01,24.8,68.1,7.1,75.2,4,12th
6160200,BULLOCH COUNTY,BROOKLET ELEM,77,857.90,0.0,37.7,62.3,100.0,77,851.57,1.3,44.2,54.5,98.7,77,864.47,9.1,32.5,58.4,90.9,78,855.19,3.8,30.8,65.4,96.2,78,849.97,3.8,48.7,47.4,96.2,4,12th
6160399,BULLOCH COUNTY,PORTAL ELEMEN,69,851.29,5.8,40.6,53.6,94.2,68,843.19,7.4,45.6,47.1,92.6,69,851.80,11.6,37.7,50.7,88.4,70,844.56,5.7,44.3,50.0,94.3,70,835.17,4.3,65.7,30.0,95.7,4,12th
6162050,BULLOCH COUNTY,BRYANT ELEMEN,99,845.97,4.0,49.5,46.5,96.0,99,830.44,11.1,68.7,20.2,88.9,99,834.72,25.3,39.4,35.4,74.7,101,831.11,17.8,48.5,33.7,82.2,101,822.78,20.8,60.4,18.8,79.2,4,12th
6163054,BULLOCH COUNTY,STILSON ELEME,55,844.53,1.8,56.4,41.8,98.2,55,837.78,7.3,60.0,32.7,92.7,55,837.75,10.9,52.7,36.4,89.1,56,844.41,7.1,50.0,42.9,92.9,56,829.09,7.1,73.2,19.6,92.9,4,12th
6165050,BULLOCH COUNTY,MATTIE LIVELY,67,840.21,4.5,55.2,40.3,95.5,67,828.70,13.4,62.7,23.9,86.6,67,815.94,38.8,38.8,22.4,61.2,69,825.46,23.2,44.9,31.9,76.8,69,819.52,21.7,66.7,11.6,78.3,4,12th
6165054,BULLOCH COUNTY,SALLIE ZETTER,74,851.70,5.4,39.2,55.4,94.6,73,839.44,4.1,57.5,38.4,95.9,74,842.64,12.2,47.3,40.5,87.8,78,846.42,15.4,32.1,52.6,84.6,77,835.61,11.7,48.1,40.3,88.3,4,12th
6170104,BURKE COUNTY,BLAKENEY ELEM,270,831.32,14.1,54.4,31.5,85.9,272,828.60,15.8,56.3,27.9,84.2,272,835.21,18.4,47.1,34.6,81.6,275,812.46,37.8,45.8,16.4,62.2,275,810.96,38.5,49.5,12.0,61.5,1,12th
6170196,BURKE COUNTY,S G A ELEMENT,49,822.80,12.2,67.3,20.4,87.8,49,825.49,18.4,63.3,18.4,81.6,49,818.43,28.6,51.0,20.4,71.4,49,819.24,30.6,49.0,20.4,69.4,49,816.90,30.6,55.1,14.3,69.4,1,12th
6180104,BUTTS COUNTY,HAMPTON L DAU,87,839.57,3.4,60.9,35.6,96.6,87,835.52,3.4,69.0,27.6,96.6,88,823.61,23.9,54.5,21.6,76.1,88,836.15,6.8,56.8,36.4,93.2,88,829.82,4.5,80.7,14.8,95.5,5,8th
6180108,BUTTS COUNTY,STARK ELEMENT,86,835.29,4.7,66.3,29.1,95.3,86,835.62,8.1,60.5,31.4,91.9,86,827.16,25.6,39.5,34.9,74.4,86,834.29,18.6,47.7,33.7,81.4,86,827.16,7.0,75.6,17.4,93.0,5,8th
6180111,BUTTS COUNTY,NEW JACKSON E,84,836.58,10.7,57.1,32.1,89.3,84,832.20,7.1,66.7,26.2,92.9,84,836.79,20.2,40.5,39.3,79.8,84,833.52,11.9,51.2,36.9,88.1,84,825.61,16.7,61.9,21.4,83.3,5,8th
6190179,CALHOUN COUNTY,CALHOUN CO EL,53,826.42,11.3,71.7,17.0,88.7,51,834.90,3.9,68.6,27.5,96.1,53,842.11,7.5,56.6,35.8,92.5,53,823.43,15.1,62.3,22.6,84.9,53,822.91,7.5,81.1,11.3,92.5,15,2nd
6200100,CAMDEN COUNTY,MAMIE LOU GRO,63,846.89,7.9,42.9,49.2,92.1,62,836.34,11.3,56.5,32.3,88.7,64,831.83,20.3,43.8,35.9,79.7,64,848.69,7.8,28.1,64.1,92.2,64,836.63,14.1,54.7,31.3,85.9,4,1st
6200110,CAMDEN COUNTY,SAINT MARYS E,99,838.58,2.0,63.6,34.3,98.0,99,839.10,5.1,55.6,39.4,94.9,99,842.46,12.1,43.4,44.4,87.9,98,838.91,11.2,48.0,40.8,88.8,98,828.91,11.2,67.3,21.4,88.8,4,1st
6200187,CAMDEN COUNTY,CROOKED RIVER,62,847.77,1.6,50.0,48.4,98.4,62,835.19,6.5,62.9,30.6,93.5,62,848.19,11.3,41.9,46.8,88.7,62,837.89,12.9,41.9,45.2,87.1,62,828.68,12.9,59.7,27.4,87.1,4,1st
6200189,CAMDEN COUNTY,MATILDA HARRI,71,855.23,0.0,40.8,59.2,100.0,70,847.69,1.4,50.0,48.6,98.6,70,870.54,2.9,31.4,65.7,97.1,71,851.39,1.4,39.4,59.2,98.6,71,842.83,2.8,57.7,39.4,97.2,4,1st
6200192,CAMDEN COUNTY,WOODBINE ELEM,70,844.21,4.3,50.0,45.7,95.7,70,836.77,4.3,67.1,28.6,95.7,71,845.63,12.7,42.3,45.1,87.3,71,833.54,8.5,59.2,32.4,91.5,71,821.38,14.1,71.8,14.1,85.9,4,1st
6200193,CAMDEN COUNTY,KINGSLAND ELE,65,824.85,12.3,66.2,21.5,87.7,65,820.62,24.6,60.0,15.4,75.4,65,827.43,24.6,44.6,30.8,75.4,65,822.35,21.5,53.8,24.6,78.5,65,817.32,24.6,60.0,15.4,75.4,4,1st
6200195,CAMDEN COUNTY,DAVID L RAINE,90,840.73,6.7,56.7,36.7,93.3,90,835.22,6.7,64.4,28.9,93.3,88,837.84,10.2,52.3,37.5,89.8,89,835.63,11.2,47.2,41.6,88.8,89,822.96,15.7,70.8,13.5,84.3,4,1st
6200197,CAMDEN COUNTY,SUGARMILL ELE,64,847.97,3.1,43.8,53.1,96.9,64,839.09,4.7,60.9,34.4,95.3,64,851.23,12.5,34.4,53.1,87.5,64,833.48,10.9,53.1,35.9,89.1,64,818.70,18.8,70.3,10.9,81.3,4,1st
6200495,CAMDEN COUNTY,MARY LEE CLAR,81,839.47,9.9,48.1,42.0,90.1,82,826.73,12.2,69.5,18.3,87.8,82,840.74,12.2,47.6,40.2,87.8,82,836.68,11.0,51.2,37.8,89.0,82,819.43,15.9,73.2,11.0,84.1,4,1st
