Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6080101,BARTOW COUNTY,WOODLAND MIDD,313,838.33,3.5,62.0,34.5,96.5,313,839.04,7.7,55.9,36.4,92.3,313,819.95,24.9,53.4,21.7,75.1,313,819.10,28.1,53.0,18.8,71.9,313,816.90,30.4,47.0,22.7,69.6
6080190,BARTOW COUNTY,SOUTH CENTRAL,205,832.23,5.4,68.8,25.9,94.6,205,835.66,8.8,57.1,34.1,91.2,205,818.30,30.7,49.8,19.5,69.3,205,813.39,37.1,45.9,17.1,62.9,204,808.02,41.7,45.6,12.7,58.3
6080195,BARTOW COUNTY,CASS MIDDLE S,340,832.99,5.0,66.5,28.5,95.0,339,830.97,8.3,69.6,22.1,91.7,340,814.18,30.0,55.6,14.4,70.0,339,818.91,28.0,55.8,16.2,72.0,339,815.86,31.6,48.7,19.8,68.4
6080301,BARTOW COUNTY,ADAIRSVILLE M,229,837.04,5.7,62.4,31.9,94.3,227,838.71,6.6,59.0,34.4,93.4,231,821.55,32.5,42.9,24.7,67.5,229,817.53,29.3,55.0,15.7,70.7,227,819.73,25.6,54.2,20.3,74.4
6090296,BEN HILL COUNTY,BEN HILL CO M,224,830.83,7.6,69.2,23.2,92.4,224,829.23,13.4,63.4,23.2,86.6,224,816.54,29.5,48.2,22.3,70.5,219,814.37,40.2,40.6,19.2,59.8,216,811.11,40.7,40.3,19.0,59.3
6100194,BERRIEN COUNTY,BERRIEN MIDDL,244,829.25,7.4,70.5,22.1,92.6,244,829.73,13.1,63.1,23.8,86.9,244,805.16,42.6,49.6,7.8,57.4,244,803.18,52.5,39.8,7.8,47.5,244,803.93,47.5,40.2,12.3,52.5
6110107,BIBB COUNTY,BLOOMFIELD MI,164,819.15,17.7,73.2,9.1,82.3,163,818.12,19.0,69.3,11.7,81.0,163,794.17,58.3,38.0,3.7,41.7,163,785.12,78.5,19.6,1.8,21.5,162,783.31,74.7,22.8,2.5,25.3
6110108,BIBB COUNTY,BALLARD HUDSO,181,822.80,9.4,81.2,9.4,90.6,180,819.31,18.3,68.9,12.8,81.7,181,800.41,50.3,41.4,8.3,49.7,180,792.73,66.7,30.6,2.8,33.3,179,811.34,39.1,43.6,17.3,60.9
6110205,BIBB COUNTY,HOWARD MIDDLE,288,829.84,13.5,59.7,26.7,86.5,287,836.89,13.2,52.3,34.5,86.8,285,817.71,35.8,41.4,22.8,64.2,282,806.90,46.1,43.6,10.3,53.9,281,808.47,42.3,40.9,16.7,57.7
6110298,BIBB COUNTY,MILLER MAGNET,280,827.70,7.1,76.4,16.4,92.9,277,831.16,11.6,63.2,25.3,88.4,278,810.71,33.1,54.7,12.2,66.9,275,798.91,57.1,37.5,5.5,42.9,272,797.37,54.4,38.2,7.4,45.6
6110305,BIBB COUNTY,RUTLAND MIDDL,309,828.78,7.4,73.8,18.8,92.6,309,830.37,9.7,65.0,25.2,90.3,309,818.79,25.2,57.3,17.5,74.8,306,803.04,46.7,47.4,5.9,53.3,303,799.66,49.2,45.2,5.6,50.8
6110407,BIBB COUNTY,MACON HEALTH,24,802.00,41.7,58.3,0.0,58.3,23,798.48,52.2,43.5,4.3,47.8,23,763.17,100.0,0.0,0.0,0.0,22,773.64,90.9,9.1,0.0,9.1,22,766.55,86.4,13.6,0.0,13.6
6110505,BIBB COUNTY,WEAVER MIDDLE,271,823.20,11.8,77.5,10.7,88.2,266,823.91,11.3,73.3,15.4,88.7,268,802.96,41.4,53.7,4.9,58.6,262,789.09,71.0,27.5,1.5,29.0,258,789.09,65.1,32.9,1.9,34.9
6115050,BIBB COUNTY,APPLING MIDDL,230,819.36,12.2,82.2,5.7,87.8,230,818.32,16.5,77.0,6.5,83.5,230,794.77,58.3,38.7,3.0,41.7,227,789.49,70.5,29.1,0.4,29.5,226,789.05,68.6,29.6,1.8,31.4
6120109,BLECKLEY COUNTY,MIDDLE GEORGI,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--,7,--,--,--,--,--
6120277,BLECKLEY COUNTY,BLECKLEY CO M,154,843.71,3.9,50.0,46.1,96.1,154,854.89,5.2,39.6,55.2,94.8,154,822.79,16.9,59.1,24.0,83.1,153,819.48,28.1,51.0,20.9,71.9,153,817.70,28.8,49.7,21.6,71.2
6130194,BRANTLEY COUNTY,BRANTLEY CO M,246,838.78,2.0,62.6,35.4,98.0,245,835.04,5.7,67.8,26.5,94.3,245,814.37,24.5,62.0,13.5,75.5,244,825.62,16.4,61.1,22.5,83.6,241,841.48,10.4,46.9,42.7,89.6
6140197,BROOKS COUNTY,BROOKS CO MID,189,823.31,6.9,83.1,10.1,93.1,190,828.14,11.6,67.9,20.5,88.4,190,808.91,26.8,66.3,6.8,73.2,191,804.19,45.0,51.3,3.7,55.0,189,813.53,28.6,54.0,17.5,71.4
6150199,BRYAN COUNTY,RICHMOND MIDD,399,842.82,1.3,57.4,41.4,98.7,398,843.20,3.8,55.5,40.7,96.2,398,843.76,7.8,48.2,44.0,92.2,398,837.10,11.6,55.0,33.4,88.4,398,831.28,13.8,56.0,30.2,86.2
6150402,BRYAN COUNTY,BRYAN CO MIDD,126,835.06,4.8,65.9,29.4,95.2,126,840.67,3.2,61.1,35.7,96.8,126,819.49,25.4,54.8,19.8,74.6,125,822.42,24.0,54.4,21.6,76.0,126,828.69,19.8,50.0,30.2,80.2
6160198,BULLOCH COUNTY,WILLIAM JAMES,179,840.40,6.7,55.9,37.4,93.3,179,843.90,6.7,52.0,41.3,93.3,179,828.70,19.0,51.4,29.6,81.0,179,818.67,33.0,45.3,21.8,67.0,179,835.74,14.5,48.0,37.4,85.5
6160299,BULLOCH COUNTY,LANGSTON CHAP,186,829.94,7.5,71.5,21.0,92.5,187,833.40,8.0,65.8,26.2,92.0,188,818.07,25.5,56.4,18.1,74.5,188,806.06,41.5,51.1,7.4,58.5,186,818.08,24.7,56.5,18.8,75.3
6160300,BULLOCH COUNTY,SOUTHEAST MID,218,837.61,4.6,60.6,34.9,95.4,218,847.76,5.5,47.7,46.8,94.5,218,829.02,16.5,54.1,29.4,83.5,217,824.20,15.7,65.0,19.4,84.3,217,844.06,9.2,42.9,47.9,90.8
6164052,BULLOCH COUNTY,PORTAL MIDDLE,70,830.06,4.3,80.0,15.7,95.7,70,835.71,10.0,54.3,35.7,90.0,70,805.17,42.9,48.6,8.6,57.1,70,802.83,48.6,44.3,7.1,51.4,70,797.11,54.3,40.0,5.7,45.7
6170188,BURKE COUNTY,BURKE CO MIDD,316,828.41,7.3,75.6,17.1,92.7,314,829.96,13.4,58.9,27.7,86.6,315,815.92,27.9,57.8,14.3,72.1,314,805.38,44.9,46.2,8.9,55.1,313,811.06,35.8,48.6,15.7,64.2
6180100,BUTTS COUNTY,HENDERSON MID,250,831.82,3.6,74.0,22.4,96.4,250,834.92,8.0,62.8,29.2,92.0,250,821.74,18.8,61.6,19.6,81.2,250,809.32,40.4,48.8,10.8,59.6,249,805.09,42.6,51.4,6.0,57.4
6194050,CALHOUN COUNTY,CALHOUN CO MI,37,830.22,5.4,78.4,16.2,94.6,37,828.62,8.1,73.0,18.9,91.9,37,807.54,27.0,64.9,8.1,73.0,37,804.46,51.4,48.6,0.0,48.6,37,803.27,48.6,40.5,10.8,51.4
6200105,CAMDEN COUNTY,SAINT MARYS M,350,840.23,2.3,59.7,38.0,97.7,350,846.42,4.6,48.6,46.9,95.4,350,829.80,18.6,51.4,30.0,81.4,350,823.23,22.3,54.9,22.9,77.7,350,820.73,23.4,54.3,22.3,76.6
6200182,CAMDEN COUNTY,CAMDEN MIDDLE,385,833.88,2.6,72.7,24.7,97.4,385,837.56,5.2,64.4,30.4,94.8,386,822.94,26.4,49.2,24.4,73.6,371,819.15,25.9,58.5,15.6,74.1,371,815.52,29.6,53.1,17.3,70.4
6210102,CANDLER COUNTY,METTER MIDDLE,134,831.35,5.2,73.9,20.9,94.8,134,835.11,12.7,53.0,34.3,87.3,134,821.09,18.7,64.2,17.2,81.3,134,804.77,41.0,52.2,6.7,59.0,134,807.58,39.6,50.0,10.4,60.4
6220101,CARROLL COUNTY,JONESVILLE MI,119,839.18,3.4,58.8,37.8,96.6,119,848.32,5.0,42.9,52.1,95.0,119,823.45,19.3,60.5,20.2,80.7,119,827.08,15.1,65.5,19.3,84.9,119,842.48,10.1,47.1,42.9,89.9
6220102,CARROLL COUNTY,TEMPLE MIDDLE,180,829.95,4.4,75.0,20.6,95.6,179,834.15,7.8,63.7,28.5,92.2,180,804.61,41.7,48.9,9.4,58.3,180,813.13,35.0,53.3,11.7,65.0,178,805.70,46.1,43.3,10.7,53.9
6220112,CARROLL COUNTY,KIDSPEACE,11,815.27,9.1,81.8,9.1,90.9,12,808.08,25.0,66.7,8.3,75.0,12,775.58,91.7,8.3,0.0,8.3,12,794.25,66.7,33.3,0.0,33.3,12,785.75,91.7,8.3,0.0,8.3
6220177,CARROLL COUNTY,CENTRAL MIDDL,257,837.22,4.7,59.5,35.8,95.3,257,839.46,9.7,54.9,35.4,90.3,258,811.06,36.4,47.7,15.9,63.6,258,818.63,35.3,44.2,20.5,64.7,256,822.53,27.7,46.5,25.8,72.3
6220198,CARROLL COUNTY,BAY SPRINGS M,258,834.73,3.5,67.4,29.1,96.5,258,837.59,8.1,55.0,36.8,91.9,258,809.57,30.6,61.2,8.1,69.4,258,816.97,31.4,52.3,16.3,68.6,258,803.67,41.9,50.0,8.1,58.1
6220208,CARROLL COUNTY,MT ZION MIDDL,96,833.58,3.1,71.9,25.0,96.9,96,833.67,9.4,67.7,22.9,90.6,96,809.97,33.3,56.3,10.4,66.7,97,808.56,36.1,58.8,5.2,63.9,97,835.11,18.6,47.4,34.0,81.4
6220305,CARROLL COUNTY,VILLA RICA MI,179,828.64,11.7,64.8,23.5,88.3,179,832.11,14.0,54.7,31.3,86.0,179,812.25,38.5,44.1,17.3,61.5,179,803.70,52.0,42.5,5.6,48.0,179,813.38,36.3,42.5,21.2,63.7
6230205,CATOOSA COUNTY,HERITAGE MIDD,328,840.33,2.1,62.5,35.4,97.9,326,840.05,8.3,54.9,36.8,91.7,328,825.97,16.2,58.5,25.3,83.8,326,820.22,26.7,55.5,17.8,73.3,326,828.11,20.9,46.6,32.5,79.1
6232552,CATOOSA COUNTY,LAKEVIEW MIDD,232,834.14,5.2,69.0,25.9,94.8,232,836.20,10.3,54.3,35.3,89.7,232,823.91,19.0,59.9,21.1,81.0,231,823.50,22.1,54.1,23.8,77.9,232,814.26,35.8,43.5,20.7,64.2
6235052,CATOOSA COUNTY,RINGGOLD MIDD,254,835.59,3.1,67.7,29.1,96.9,253,836.39,5.5,64.4,30.0,94.5,255,821.71,21.6,56.5,22.0,78.4,253,814.41,31.6,56.9,11.5,68.4,253,814.48,32.0,52.6,15.4,68.0
6240287,CHARLTON COUNTY,CHARLTON COUN,127,834.94,3.9,74.8,21.3,96.1,127,832.39,6.3,67.7,26.0,93.7,127,806.87,37.8,53.5,8.7,62.2,127,816.71,37.0,44.1,18.9,63.0,126,813.48,31.7,50.0,18.3,68.3
6250107,CHATHAM COUNTY,UHS OF SAVANN,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--
6250198,CHATHAM COUNTY,COASTAL MIDDL,317,836.38,5.7,67.8,26.5,94.3,317,836.28,8.2,61.5,30.3,91.8,317,822.55,21.5,57.1,21.5,78.5,314,806.82,42.4,46.8,10.8,57.6,313,822.36,26.2,47.9,25.9,73.8
6250199,CHATHAM COUNTY,W CHATHAM MID,357,826.09,8.4,74.5,17.1,91.6,356,824.24,13.5,70.2,16.3,86.5,358,800.61,49.7,43.0,7.3,50.3,355,796.12,60.0,36.1,3.9,40.0,353,798.24,52.4,39.9,7.6,47.6
6250201,CHATHAM COUNTY,DERENNE MIDDL,265,828.18,10.2,68.3,21.5,89.8,263,828.67,14.1,62.4,23.6,85.9,264,813.64,41.3,39.0,19.7,58.7,256,804.69,55.9,31.6,12.5,44.1,258,815.41,42.6,33.7,23.6,57.4
6250299,CHATHAM COUNTY,SOUTHWEST MID,293,826.62,9.2,76.5,14.3,90.8,292,828.05,9.6,70.5,19.9,90.4,293,808.33,37.9,50.9,11.3,62.1,287,799.94,55.4,39.4,5.2,44.6,287,800.64,51.2,42.2,6.6,48.8
6250301,CHATHAM COUNTY,MYERS MIDDLE,197,827.32,6.6,78.2,15.2,93.4,198,829.75,7.6,72.7,19.7,92.4,197,800.65,45.7,49.7,4.6,54.3,195,799.49,55.9,38.5,5.6,44.1,195,827.16,18.5,53.8,27.7,81.5
6250400,CHATHAM COUNTY,OGLETHORPE CH,131,842.61,0.8,61.8,37.4,99.2,131,849.95,0.8,49.6,49.6,99.2,131,839.37,6.1,53.4,40.5,93.9,130,812.51,30.8,56.9,12.3,69.2,130,831.98,16.2,52.3,31.5,83.8
6252060,CHATHAM COUNTY,HUBERT MIDDLE,75,819.81,12.0,82.7,5.3,88.0,74,817.96,17.6,71.6,10.8,82.4,74,795.28,54.1,41.9,4.1,45.9,74,782.07,83.8,16.2,0.0,16.2,74,783.51,74.3,25.7,0.0,25.7
6254054,CHATHAM COUNTY,ELLIS ELEMENT,46,840.76,4.3,56.5,39.1,95.7,46,836.22,6.5,69.6,23.9,93.5,46,808.80,37.0,50.0,13.0,63.0,46,815.96,28.3,56.5,15.2,71.7,46,821.87,19.6,63.0,17.4,80.4
6254066,CHATHAM COUNTY,SHUMAN MIDDLE,163,824.36,9.8,79.1,11.0,90.2,163,825.09,8.0,81.0,11.0,92.0,162,814.90,21.6,67.9,10.5,78.4,161,790.83,64.6,35.4,0.0,35.4,162,796.86,53.1,43.8,3.1,46.9
6255050,CHATHAM COUNTY,BARTLETT MIDD,140,822.32,11.4,75.7,12.9,88.6,140,820.84,15.0,70.0,15.0,85.0,137,793.86,60.6,38.0,1.5,39.4,137,791.17,65.0,33.6,1.5,35.0,135,797.41,57.0,37.8,5.2,43.0
6255062,CHATHAM COUNTY,MERCER MIDDLE,260,824.02,10.0,78.5,11.5,90.0,261,824.41,13.8,69.0,17.2,86.2,260,797.65,55.8,37.7,6.5,44.2,259,795.08,63.7,32.8,3.5,36.3,259,801.39,49.8,39.8,10.4,50.2
6260106,CHATTAHOOCHEE COUNTY,CHATTAHOO MID,53,826.51,5.7,84.9,9.4,94.3,53,832.09,9.4,69.8,20.8,90.6,53,799.42,45.3,47.2,7.5,54.7,53,793.51,69.8,26.4,3.8,30.2,53,787.70,62.3,34.0,3.8,37.7
6270108,CHATTOOGA COUNTY,CROSSROADS AL,10,807.60,40.0,50.0,10.0,60.0,10,791.00,60.0,40.0,0.0,40.0,10,766.70,90.0,10.0,0.0,10.0,10,784.90,90.0,10.0,0.0,10.0,10,765.80,90.0,10.0,0.0,10.0
6272050,CHATTOOGA COUNTY,LYERLY ELEMEN,41,834.15,7.3,61.0,31.7,92.7,41,831.63,12.2,61.0,26.8,87.8,41,820.56,29.3,53.7,17.1,70.7,40,795.45,57.5,40.0,2.5,42.5,40,792.00,60.0,40.0,0.0,40.0
6272052,CHATTOOGA COUNTY,SUMMERVILLE M,145,824.12,9.7,75.9,14.5,90.3,145,821.15,20.0,64.8,15.2,80.0,145,794.11,57.2,37.9,4.8,42.8,145,793.50,64.8,31.0,4.1,35.2,145,789.63,68.3,30.3,1.4,31.7
6273050,CHATTOOGA COUNTY,MENLO ELEMENT,41,832.15,2.4,73.2,24.4,97.6,41,834.12,7.3,63.4,29.3,92.7,41,814.95,26.8,58.5,14.6,73.2,41,798.22,51.2,48.8,0.0,48.8,41,809.51,41.5,43.9,14.6,58.5
6280113,CHEROKEE COUNTY,MILL CREEK MI,366,841.44,2.2,57.9,39.9,97.8,366,845.13,4.6,49.2,46.2,95.4,366,824.07,19.4,57.4,23.2,80.6,366,822.51,22.4,56.6,21.0,77.6,365,827.72,22.7,47.7,29.6,77.3
6280181,CHEROKEE COUNTY,BOOTH MIDDLE,568,848.73,1.2,46.3,52.5,98.8,568,856.00,2.8,37.3,59.9,97.2,568,838.26,10.0,48.4,41.5,90.0,568,823.77,25.0,53.3,21.7,75.0,567,837.43,13.2,45.1,41.6,86.8
6280187,CHEROKEE COUNTY,RUSK MIDDLE S,381,845.39,1.8,49.3,48.8,98.2,381,846.68,2.9,51.2,45.9,97.1,381,833.60,13.4,55.1,31.5,86.6,381,826.12,16.5,61.4,22.0,83.5,381,837.29,12.1,44.1,43.8,87.9
6280205,CHEROKEE COUNTY,FREEDOM MIDDL,331,850.63,1.5,41.1,57.4,98.5,331,856.45,1.8,40.8,57.4,98.2,331,848.32,3.3,55.0,41.7,96.7,330,839.17,11.5,53.3,35.2,88.5,330,837.21,10.3,55.5,34.2,89.7
6280287,CHEROKEE COUNTY,TEASLEY MIDDL,344,836.97,4.9,64.0,31.1,95.1,344,835.76,9.6,57.0,33.4,90.4,343,814.20,31.2,53.6,15.2,68.8,344,821.92,29.1,50.0,20.9,70.9,342,811.19,38.0,46.8,15.2,62.0
6280297,CHEROKEE COUNTY,WOODSTOCK MID,321,840.28,4.7,53.3,42.1,95.3,322,845.67,4.7,50.0,45.3,95.3,322,824.67,23.9,50.9,25.2,76.1,321,821.60,24.0,55.8,20.2,76.0,318,839.31,15.7,38.1,46.2,84.3
6280305,CHEROKEE COUNTY,CREEKLAND MID,450,846.94,1.8,48.0,50.2,98.2,451,851.54,2.9,43.2,53.9,97.1,451,833.24,12.6,56.3,31.0,87.4,446,830.76,15.7,56.3,28.0,84.3,441,827.24,19.0,53.3,27.7,81.0
6290111,CLARKE COUNTY,SOAR ACADEMY,31,799.23,41.9,54.8,3.2,58.1,31,793.03,64.5,35.5,0.0,35.5,31,766.97,87.1,12.9,0.0,12.9,25,777.68,96.0,0.0,4.0,4.0,24,765.88,95.8,4.2,0.0,4.2
6290196,CLARKE COUNTY,COILE MIDDLE,174,822.30,7.5,80.5,12.1,92.5,174,822.09,20.1,63.8,16.1,79.9,176,801.64,49.4,42.0,8.5,50.6,174,799.37,54.6,40.2,5.2,45.4,170,805.07,44.7,44.1,11.2,55.3
6290296,CLARKE COUNTY,BURNEY HARRIS,192,828.47,8.9,74.0,17.2,91.1,192,829.73,12.5,63.0,24.5,87.5,190,805.83,45.8,43.2,11.1,54.2,191,802.00,50.3,42.4,7.3,49.7,191,816.01,34.6,46.6,18.8,65.4
6291058,CLARKE COUNTY,CLARKE MIDDLE,182,833.20,8.8,62.1,29.1,91.2,182,831.76,17.0,51.1,31.9,83.0,183,828.07,30.1,37.7,32.2,69.9,182,810.74,42.3,42.9,14.8,57.7,181,823.08,30.4,40.9,28.7,69.6
6295058,CLARKE COUNTY,HILSMAN MIDDL,223,830.76,10.8,63.2,26.0,89.2,223,829.50,17.5,52.9,29.6,82.5,224,811.17,43.3,42.0,14.7,56.7,222,800.93,55.0,36.5,8.6,45.0,222,827.23,28.8,39.6,31.5,71.2
6300104,CLAY COUNTY,CLAY COUNTY M,21,823.00,0.0,100.0,0.0,100.0,21,828.90,0.0,81.0,19.0,100.0,21,834.43,4.8,57.1,38.1,95.2,21,788.67,76.2,23.8,0.0,23.8,21,797.81,47.6,52.4,0.0,52.4
6310100,CLAYTON COUNTY,M D ROBERTS M,235,833.89,3.8,68.5,27.7,96.2,235,838.83,7.2,57.4,35.3,92.8,234,820.30,32.1,42.3,25.6,67.9,234,802.91,47.9,46.6,5.6,52.1,234,810.91,38.5,44.0,17.5,61.5
6310106,CLAYTON COUNTY,JONESBORO MID,262,826.00,10.3,73.7,16.0,89.7,261,828.25,15.7,56.7,27.6,84.3,262,804.26,45.8,42.0,12.2,54.2,260,794.70,61.5,36.9,1.5,38.5,259,794.75,56.0,40.5,3.5,44.0
6310107,CLAYTON COUNTY,SEQUOYAH MIDD,214,830.46,4.7,73.8,21.5,95.3,214,836.47,6.5,64.5,29.0,93.5,215,813.17,29.3,59.5,11.2,70.7,214,800.33,49.1,46.7,4.2,50.9,212,796.19,55.7,41.0,3.3,44.3
6310114,CLAYTON COUNTY,ELITE SCHOLAR,75,842.60,1.3,61.3,37.3,98.7,75,846.81,4.0,46.7,49.3,96.0,75,829.20,20.0,46.7,33.3,80.0,75,810.15,38.7,52.0,9.3,61.3,75,810.76,37.3,44.0,18.7,62.7
6310174,CLAYTON COUNTY,MUNDY S MIDDL,282,828.34,5.7,79.1,15.2,94.3,280,833.19,5.7,68.9,25.4,94.3,282,806.38,41.5,47.2,11.3,58.5,280,793.96,57.9,41.1,1.1,42.1,281,814.40,32.7,47.3,19.9,67.3
6310177,CLAYTON COUNTY,ADAMSON MIDDL,225,826.99,6.7,79.1,14.2,93.3,225,829.40,11.1,66.7,22.2,88.9,222,804.08,45.5,41.4,13.1,54.5,222,798.66,51.8,47.3,0.9,48.2,222,803.63,41.9,53.2,5.0,58.1
6310191,CLAYTON COUNTY,LOVEJOY MIDDL,388,828.06,8.0,75.0,17.0,92.0,385,831.35,9.9,66.2,23.9,90.1,387,809.47,38.8,48.3,12.9,61.2,383,797.37,54.8,42.8,2.3,45.2,386,792.40,58.0,40.2,1.8,42.0
6310197,CLAYTON COUNTY,KENDRICK MIDD,262,824.04,10.3,80.2,9.5,89.7,262,826.24,13.7,63.0,23.3,86.3,261,802.45,47.5,44.8,7.7,52.5,261,792.93,64.0,34.5,1.5,36.0,260,792.40,60.4,37.7,1.9,39.6
6310207,CLAYTON COUNTY,REX MILL MIDD,331,834.69,5.1,68.3,26.6,94.9,331,838.85,8.2,54.7,37.2,91.8,330,830.40,19.4,45.8,34.8,80.6,329,823.84,28.6,45.6,25.8,71.4,328,811.65,37.8,47.3,14.9,62.2
6310277,CLAYTON COUNTY,POINTE SOUTH,237,827.64,7.2,77.2,15.6,92.8,237,832.37,8.9,60.3,30.8,91.1,237,809.28,39.7,47.7,12.7,60.3,237,796.11,59.5,39.7,0.8,40.5,235,798.02,52.3,42.6,5.1,47.7
6312054,CLAYTON COUNTY,FOREST PARK M,177,830.13,2.8,79.1,18.1,97.2,178,837.97,7.3,57.9,34.8,92.7,177,824.25,19.2,57.6,23.2,80.8,179,800.03,52.5,44.1,3.4,47.5,176,809.74,45.5,39.2,15.3,54.5
6313050,CLAYTON COUNTY,BABB MIDDLE S,251,827.87,7.6,76.9,15.5,92.4,251,836.93,8.4,59.0,32.7,91.6,251,818.15,30.3,48.6,21.1,69.7,251,803.02,47.4,48.6,4.0,52.6,251,795.10,53.4,44.2,2.4,46.6
6313052,CLAYTON COUNTY,NORTH CLAYTON,288,824.87,9.0,78.5,12.5,91.0,288,827.89,11.5,68.8,19.8,88.5,295,804.81,44.1,44.7,11.2,55.9,293,791.46,67.2,32.1,0.7,32.8,289,795.13,55.7,40.8,3.5,44.3
6313058,CLAYTON COUNTY,MORROW MIDDLE,213,831.03,5.6,73.2,21.1,94.4,213,842.30,8.5,46.0,45.5,91.5,212,823.40,25.5,48.6,25.9,74.5,212,801.51,50.0,41.5,8.5,50.0,211,801.63,49.8,38.9,11.4,50.2
6313060,CLAYTON COUNTY,RIVERDALE MID,310,827.97,8.1,74.5,17.4,91.9,308,837.26,7.5,59.1,33.4,92.5,310,809.60,41.6,41.6,16.8,58.4,308,794.20,63.0,33.4,3.6,37.0,306,799.13,52.3,42.8,4.9,47.7
