Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6115050,BIBB COUNTY,APPLING MIDDL,226,810.73,28.3,64.2,7.5,71.7,226,813.49,22.1,72.6,5.3,77.9,226,799.03,53.5,43.4,3.1,46.5,224,787.65,73.7,25.9,0.4,26.3,225,783.66,77.3,20.4,2.2,22.7
6120277,BLECKLEY COUNTY,BLECKLEY CO M,183,841.80,5.5,48.6,45.9,94.5,184,840.17,5.4,58.2,36.4,94.6,184,823.50,20.1,59.2,20.7,79.9,184,831.87,17.9,48.9,33.2,82.1,183,815.43,36.6,39.3,24.0,63.4
6130110,BRANTLEY COUNTY,ATKINSON ELEM,81,839.42,6.2,49.4,44.4,93.8,81,839.78,7.4,55.6,37.0,92.6,80,832.46,8.8,66.3,25.0,91.3,79,832.18,12.7,62.0,25.3,87.3,79,830.92,27.8,39.2,32.9,72.2
6130294,BRANTLEY COUNTY,NAHUNTA ELEME,99,837.41,8.1,53.5,38.4,91.9,99,834.63,8.1,61.6,30.3,91.9,99,819.93,21.2,63.6,15.2,78.8,99,825.78,21.2,55.6,23.2,78.8,99,859.33,13.1,31.3,55.6,86.9
6132050,BRANTLEY COUNTY,HOBOKEN ELEME,81,838.02,3.7,59.3,37.0,96.3,81,835.41,1.2,76.5,22.2,98.8,81,830.10,8.6,69.1,22.2,91.4,81,827.65,12.3,69.1,18.5,87.7,81,839.12,17.3,45.7,37.0,82.7
6140197,BROOKS COUNTY,BROOKS CO MID,169,822.85,11.2,75.1,13.6,88.8,169,822.29,11.2,78.7,10.1,88.8,169,812.38,26.6,62.7,10.7,73.4,169,800.15,53.8,45.0,1.2,46.2,169,796.79,56.2,37.9,5.9,43.8
6150199,BRYAN COUNTY,RICHMOND MIDD,405,842.32,4.7,48.4,46.9,95.3,405,838.55,6.7,59.8,33.6,93.3,405,826.02,18.8,57.0,24.2,81.2,405,829.55,15.1,59.3,25.7,84.9,405,847.56,16.0,37.5,46.4,84.0
6150402,BRYAN COUNTY,BRYAN CO MIDD,152,829.32,8.6,65.8,25.7,91.4,152,829.49,5.9,76.3,17.8,94.1,152,816.37,26.3,61.2,12.5,73.7,152,814.01,30.3,58.6,11.2,69.7,152,807.24,46.1,41.4,12.5,53.9
6160198,BULLOCH COUNTY,WILLIAM JAMES,166,835.42,9.6,53.0,37.3,90.4,166,831.25,6.0,72.3,21.7,94.0,166,827.64,21.1,54.8,24.1,78.9,166,822.33,24.1,55.4,20.5,75.9,166,821.33,36.7,38.6,24.7,63.3
6160299,BULLOCH COUNTY,LANGSTON CHAP,233,829.51,8.6,66.1,25.3,91.4,234,831.74,9.0,65.4,25.6,91.0,234,818.14,26.9,55.6,17.5,73.1,234,806.65,41.9,52.6,5.6,58.1,233,822.95,29.6,46.8,23.6,70.4
6160300,BULLOCH COUNTY,SOUTHEAST MID,260,838.45,4.6,58.5,36.9,95.4,260,839.92,3.1,60.4,36.5,96.9,260,823.75,13.5,69.6,16.9,86.5,259,825.46,16.2,67.2,16.6,83.8,258,823.87,28.7,48.4,22.9,71.3
6164052,BULLOCH COUNTY,PORTAL MIDDLE,59,831.07,8.5,62.7,28.8,91.5,59,823.39,10.2,79.7,10.2,89.8,59,815.10,27.1,66.1,6.8,72.9,59,822.17,16.9,64.4,18.6,83.1,59,799.51,55.9,37.3,6.8,44.1
6170188,BURKE COUNTY,BURKE CO MIDD,296,822.86,16.2,65.5,18.2,83.8,296,824.65,10.5,75.7,13.9,89.5,296,814.13,29.4,59.8,10.8,70.6,296,806.01,44.6,48.6,6.8,55.4,294,816.79,39.1,37.4,23.5,60.9
6180100,BUTTS COUNTY,HENDERSON MID,272,831.92,6.3,69.5,24.3,93.8,272,829.46,5.1,79.0,15.8,94.9,273,818.92,18.3,69.2,12.5,81.7,273,816.83,26.4,59.7,13.9,73.6,273,812.12,39.6,42.1,18.3,60.4
6194050,CALHOUN COUNTY,CALHOUN CO MI,63,828.52,12.7,57.1,30.2,87.3,63,826.11,7.9,81.0,11.1,92.1,63,810.70,27.0,68.3,4.8,73.0,63,807.92,38.1,57.1,4.8,61.9,63,801.97,46.0,47.6,6.3,54.0
6200105,CAMDEN COUNTY,SAINT MARYS M,342,837.07,6.4,57.6,36.0,93.6,342,836.93,6.4,62.0,31.6,93.6,342,828.40,15.8,59.9,24.3,84.2,342,821.38,19.9,64.9,15.2,80.1,342,812.67,38.6,44.7,16.7,61.4
6200182,CAMDEN COUNTY,CAMDEN MIDDLE,366,832.46,7.4,60.9,31.7,92.6,366,830.69,9.8,65.8,24.3,90.2,367,826.20,22.3,53.1,24.5,77.7,361,815.79,27.1,62.6,10.2,72.9,356,818.95,37.6,38.2,24.2,62.4
6210102,CANDLER COUNTY,METTER MIDDLE,161,829.76,9.3,61.5,29.2,90.7,161,827.91,7.5,75.8,16.8,92.5,161,818.94,21.1,65.2,13.7,78.9,161,817.50,26.1,62.7,11.2,73.9,161,830.18,26.1,42.2,31.7,73.9
6220101,CARROLL COUNTY,JONESVILLE MI,91,834.86,6.6,58.2,35.2,93.4,91,833.13,6.6,69.2,24.2,93.4,91,816.27,25.3,63.7,11.0,74.7,90,815.78,28.9,55.6,15.6,71.1,89,819.67,29.2,52.8,18.0,70.8
6220102,CARROLL COUNTY,TEMPLE MIDDLE,158,819.80,20.9,62.0,17.1,79.1,158,821.01,19.0,69.0,12.0,81.0,158,804.08,44.3,50.6,5.1,55.7,158,802.29,44.3,53.8,1.9,55.7,158,787.81,67.7,30.4,1.9,32.3
6220112,CARROLL COUNTY,KIDSPEACE,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--
6220177,CARROLL COUNTY,CENTRAL MIDDL,279,834.46,7.2,56.3,36.6,92.8,279,835.15,8.2,64.5,27.2,91.8,279,818.20,25.1,60.9,14.0,74.9,278,818.03,27.3,57.9,14.7,72.7,277,809.11,44.4,41.9,13.7,55.6
6220198,CARROLL COUNTY,BAY SPRINGS M,273,831.57,11.4,55.7,33.0,88.6,274,825.61,12.8,73.7,13.5,87.2,273,813.99,32.2,56.0,11.7,67.8,272,815.18,32.4,55.1,12.5,67.6,273,806.71,49.1,35.9,15.0,50.9
6220208,CARROLL COUNTY,MT ZION MIDDL,94,826.03,14.9,57.4,27.7,85.1,94,825.53,10.6,72.3,17.0,89.4,96,809.16,37.5,58.3,4.2,62.5,96,805.94,41.7,53.1,5.2,58.3,95,807.63,46.3,36.8,16.8,53.7
6220305,CARROLL COUNTY,VILLA RICA MI,180,835.71,9.4,52.8,37.8,90.6,180,834.22,8.3,65.6,26.1,91.7,179,820.31,25.7,57.0,17.3,74.3,179,813.07,30.7,58.7,10.6,69.3,178,818.81,28.1,53.9,18.0,71.9
6230205,CATOOSA COUNTY,HERITAGE MIDD,339,838.74,5.3,49.0,45.7,94.7,339,837.15,6.2,59.9,33.9,93.8,339,830.22,12.4,61.4,26.3,87.6,339,819.88,19.5,68.1,12.4,80.5,339,825.78,33.0,37.5,29.5,67.0
6232552,CATOOSA COUNTY,LAKEVIEW MIDD,235,832.77,5.5,62.6,31.9,94.5,235,831.81,5.1,74.5,20.4,94.9,235,819.52,24.7,59.6,15.7,75.3,235,820.07,26.4,56.6,17.0,73.6,234,808.96,41.5,43.2,15.4,58.5
6235052,CATOOSA COUNTY,RINGGOLD MIDD,226,836.80,7.5,54.0,38.5,92.5,226,833.52,8.0,64.2,27.9,92.0,226,818.55,25.7,57.1,17.3,74.3,223,821.34,19.7,68.2,12.1,80.3,225,811.23,40.4,43.1,16.4,59.6
6240199,CHARLTON COUNTY,FOLKSTON ELEM,108,831.46,10.2,54.6,35.2,89.8,108,827.98,7.4,73.1,19.4,92.6,108,810.81,29.6,64.8,5.6,70.4,108,811.69,40.7,44.4,14.8,59.3,108,801.98,50.9,38.9,10.2,49.1
6244050,CHARLTON COUNTY,ST GEORGE EL,29,835.79,10.3,51.7,37.9,89.7,29,823.79,13.8,69.0,17.2,86.2,29,810.21,27.6,72.4,0.0,72.4,29,812.03,27.6,65.5,6.9,72.4,29,807.00,51.7,31.0,17.2,48.3
6250107,CHATHAM COUNTY,UHS OF SAVANN,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--
6250198,CHATHAM COUNTY,COASTAL MIDDL,285,840.14,5.6,50.2,44.2,94.4,284,839.30,5.3,57.7,37.0,94.7,285,827.01,20.4,54.4,25.3,79.6,285,817.35,31.6,53.3,15.1,68.4,285,823.06,30.9,43.5,25.6,69.1
6250199,CHATHAM COUNTY,W CHATHAM MID,379,823.29,19.3,60.9,19.8,80.7,379,819.60,17.7,71.8,10.6,82.3,382,811.18,33.5,56.3,10.2,66.5,381,805.49,44.6,47.5,7.9,55.4,377,792.85,63.9,28.6,7.4,36.1
6250201,CHATHAM COUNTY,DERENNE MIDDL,290,827.11,15.5,57.2,27.2,84.5,288,826.61,15.6,63.5,20.8,84.4,288,812.52,39.6,44.1,16.3,60.4,277,805.16,47.7,42.2,10.1,52.3,280,796.05,60.0,28.6,11.4,40.0
6250299,CHATHAM COUNTY,SOUTHWEST MID,317,826.08,11.7,64.4,24.0,88.3,316,822.99,12.3,77.2,10.4,87.7,317,807.90,39.7,52.7,7.6,60.3,316,802.24,50.3,44.0,5.7,49.7,313,794.92,56.5,37.7,5.8,43.5
6250301,CHATHAM COUNTY,MYERS MIDDLE,239,819.43,20.1,66.9,13.0,79.9,241,820.09,14.5,76.3,9.1,85.5,238,801.97,49.2,48.3,2.5,50.8,238,796.35,59.2,39.1,1.7,40.8,238,798.41,55.9,36.6,7.6,44.1
6250400,CHATHAM COUNTY,OGLETHORPE CH,134,844.93,2.2,47.8,50.0,97.8,134,846.72,1.5,54.5,44.0,98.5,134,829.63,13.4,58.2,28.4,86.6,134,818.96,21.6,67.2,11.2,78.4,134,836.72,17.9,46.3,35.8,82.1
6252060,CHATHAM COUNTY,HUBERT MIDDLE,217,815.30,25.3,62.2,12.4,74.7,217,815.18,22.6,73.3,4.1,77.4,217,801.92,54.4,39.2,6.5,45.6,217,793.36,66.8,31.8,1.4,33.2,216,788.97,68.5,24.5,6.9,31.5
6253060,CHATHAM COUNTY,ISLE OF HOPE,38,832.13,13.2,55.3,31.6,86.8,38,826.47,18.4,57.9,23.7,81.6,38,812.34,39.5,44.7,15.8,60.5,38,815.24,26.3,65.8,7.9,73.7,38,805.63,50.0,39.5,10.5,50.0
6254054,CHATHAM COUNTY,ELLIS ELEMENT,43,859.00,0.0,20.9,79.1,100.0,43,844.86,0.0,53.5,46.5,100.0,43,835.88,7.0,58.1,34.9,93.0,43,826.21,14.0,69.8,16.3,86.0,43,838.23,9.3,53.5,37.2,90.7
6254058,CHATHAM COUNTY,HESSE ELEMENT,60,840.83,1.7,50.0,48.3,98.3,60,841.33,5.0,55.0,40.0,95.0,60,823.92,18.3,61.7,20.0,81.7,60,817.22,21.7,70.0,8.3,78.3,60,807.23,40.0,50.0,10.0,60.0
6254066,CHATHAM COUNTY,SHUMAN MIDDLE,78,839.05,1.3,57.7,41.0,98.7,78,836.71,0.0,73.1,26.9,100.0,78,822.28,16.7,69.2,14.1,83.3,78,821.62,16.7,67.9,15.4,83.3,76,842.24,10.5,43.4,46.1,89.5
6255050,CHATHAM COUNTY,BARTLETT MIDD,147,821.67,17.0,69.4,13.6,83.0,147,821.39,10.2,79.6,10.2,89.8,148,802.99,49.3,44.6,6.1,50.7,146,794.59,62.3,37.7,0.0,37.7,145,787.79,68.3,29.7,2.1,31.7
6255062,CHATHAM COUNTY,MERCER MIDDLE,253,818.87,21.3,60.5,18.2,78.7,251,817.88,21.1,67.7,11.2,78.9,252,801.15,50.8,44.0,5.2,49.2,249,797.82,57.0,39.0,4.0,43.0,245,798.01,62.9,25.7,11.4,37.1
6260106,CHATTAHOOCHEE COUNTY,CHATTAHOO MID,47,833.28,12.8,51.1,36.2,87.2,47,829.23,10.6,70.2,19.1,89.4,47,817.49,19.1,74.5,6.4,80.9,47,812.19,42.6,44.7,12.8,57.4,47,810.64,46.8,31.9,21.3,53.2
6270108,CHATTOOGA COUNTY,CROSSROADS AL,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--
6272050,CHATTOOGA COUNTY,LYERLY ELEMEN,44,840.59,4.5,50.0,45.5,95.5,44,834.36,6.8,72.7,20.5,93.2,44,812.75,22.7,72.7,4.5,77.3,44,814.02,27.3,65.9,6.8,72.7,44,811.57,38.6,45.5,15.9,61.4
6272052,CHATTOOGA COUNTY,SUMMERVILLE M,142,822.24,19.0,63.4,17.6,81.0,142,814.68,28.9,64.1,7.0,71.1,142,804.58,40.8,54.2,4.9,59.2,142,807.58,33.1,62.0,4.9,66.9,142,786.64,68.3,29.6,2.1,31.7
6273050,CHATTOOGA COUNTY,MENLO ELEMENT,38,831.18,10.5,57.9,31.6,89.5,38,818.58,13.2,76.3,10.5,86.8,38,810.63,31.6,57.9,10.5,68.4,38,809.29,34.2,52.6,13.2,65.8,38,815.53,42.1,42.1,15.8,57.9
6280105,CHEROKEE COUNTY,WILLIAM G HA,69,838.33,8.7,49.3,42.0,91.3,69,836.17,8.7,59.4,31.9,91.3,69,827.33,21.7,53.6,24.6,78.3,69,810.55,36.2,56.5,7.2,63.8,68,797.81,54.4,41.2,4.4,45.6
6280182,CHEROKEE COUNTY,JOHNSTON ELEM,118,844.79,2.5,42.4,55.1,97.5,118,835.94,4.2,68.6,27.1,95.8,118,829.54,11.9,66.9,21.2,88.1,118,826.32,11.0,69.5,19.5,89.0,118,840.69,21.2,34.7,44.1,78.8
6280190,CHEROKEE COUNTY,MOUNTAIN ROAD,70,850.89,0.0,34.3,65.7,100.0,70,839.24,0.0,72.9,27.1,100.0,70,847.69,2.9,45.7,51.4,97.1,70,828.76,7.1,80.0,12.9,92.9,70,834.79,15.7,50.0,34.3,84.3
6280198,CHEROKEE COUNTY,R M MOORE ELE,71,844.86,4.2,40.8,54.9,95.8,71,835.42,5.6,64.8,29.6,94.4,69,832.41,11.6,60.9,27.5,88.4,71,819.92,18.3,67.6,14.1,81.7,71,803.06,47.9,43.7,8.5,52.1
6280199,CHEROKEE COUNTY,HOLLY SPRINGS,162,841.06,1.9,50.0,48.1,98.1,161,835.49,3.7,72.7,23.6,96.3,163,827.96,11.7,66.9,21.5,88.3,163,820.25,20.9,65.6,13.5,79.1,162,811.60,34.0,52.5,13.6,66.0
6280201,CHEROKEE COUNTY,CHAPMAN INTER,571,849.41,2.3,38.2,59.5,97.7,571,849.29,1.9,46.1,52.0,98.1,572,838.80,10.5,49.7,39.9,89.5,572,837.99,10.8,52.1,37.1,89.2,570,853.33,14.9,28.9,56.1,85.1
6280205,CHEROKEE COUNTY,FREEDOM MIDDL,351,849.21,2.0,39.6,58.4,98.0,351,845.50,2.8,55.6,41.6,97.2,351,840.87,7.4,53.3,39.3,92.6,349,835.60,8.3,61.0,30.7,91.7,349,845.26,15.5,37.5,47.0,84.5
6280297,CHEROKEE COUNTY,WOODSTOCK MID,364,845.47,2.2,45.9,51.9,97.8,364,850.36,2.2,41.2,56.6,97.8,364,830.98,12.6,59.1,28.3,87.4,364,828.36,14.3,62.4,23.4,85.7,364,853.27,15.7,30.5,53.8,84.3
6280305,CHEROKEE COUNTY,CREEKLAND MID,422,846.33,3.3,43.1,53.6,96.7,422,844.77,3.8,52.8,43.4,96.2,423,833.83,11.1,57.0,31.9,88.9,423,831.38,14.9,57.7,27.4,85.1,414,827.68,25.1,47.1,27.8,74.9
6280309,CHEROKEE COUNTY,LITTLE RIVER,139,842.88,4.3,48.9,46.8,95.7,139,837.86,5.0,64.0,30.9,95.0,140,831.01,12.1,59.3,28.6,87.9,140,823.04,18.6,65.0,16.4,81.4,139,832.95,21.6,42.4,36.0,78.4
6280397,CHEROKEE COUNTY,ARNOLD MILL E,141,846.27,5.7,41.8,52.5,94.3,141,837.87,5.0,61.7,33.3,95.0,142,828.33,13.4,61.3,25.4,86.6,142,828.18,12.0,70.4,17.6,88.0,141,853.43,11.3,35.5,53.2,88.7
6280409,CHEROKEE COUNTY,CANTON ELEMEN,80,830.65,10.0,60.0,30.0,90.0,79,824.66,11.4,77.2,11.4,88.6,80,818.08,26.3,58.8,15.0,73.8,80,811.65,33.8,57.5,8.8,66.3,79,805.84,46.8,44.3,8.9,53.2
6280509,CHEROKEE COUNTY,J KNOX ELEME,102,848.05,2.9,43.1,53.9,97.1,102,839.71,2.9,63.7,33.3,97.1,102,834.29,7.8,57.8,34.3,92.2,102,831.68,12.7,58.8,28.4,87.3,102,867.02,5.9,33.3,60.8,94.1
6281052,CHEROKEE COUNTY,CLAYTON ELEME,61,839.00,6.6,49.2,44.3,93.4,61,836.03,6.6,65.6,27.9,93.4,61,817.90,27.9,55.7,16.4,72.1,61,812.69,27.9,68.9,3.3,72.1,61,813.21,36.1,45.9,18.0,63.9
6283052,CHEROKEE COUNTY,HICKORY FLAT,146,848.87,4.1,39.7,56.2,95.9,146,835.67,5.5,65.8,28.8,94.5,146,834.79,12.3,55.5,32.2,87.7,146,831.57,14.4,58.9,26.7,85.6,144,831.51,20.8,44.4,34.7,79.2
6290111,CLARKE COUNTY,SOAR ACADEMY,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--
6290196,CLARKE COUNTY,COILE MIDDLE,175,826.39,10.3,68.0,21.7,89.7,175,827.15,9.7,74.3,16.0,90.3,175,814.75,31.4,54.9,13.7,68.6,175,814.58,33.1,52.0,14.9,66.9,175,819.65,28.0,50.9,21.1,72.0
6290296,CLARKE COUNTY,BURNEY HARRIS,186,824.01,17.7,61.8,20.4,82.3,185,828.84,10.8,70.8,18.4,89.2,185,806.35,44.9,47.6,7.6,55.1,185,805.53,49.7,40.0,10.3,50.3,183,806.95,53.6,28.4,18.0,46.4
6291058,CLARKE COUNTY,CLARKE MIDDLE,181,830.80,17.1,45.3,37.6,82.9,181,828.69,17.7,50.3,32.0,82.3,182,822.51,33.5,39.6,26.9,66.5,182,819.86,36.3,35.7,28.0,63.7,181,842.11,29.3,24.3,46.4,70.7
6295058,CLARKE COUNTY,HILSMAN MIDDL,216,830.70,9.3,60.6,30.1,90.7,215,826.59,9.8,74.4,15.8,90.2,217,821.65,33.6,45.2,21.2,66.4,217,823.06,30.9,47.0,22.1,69.1,214,833.89,29.9,34.1,36.0,70.1
6300104,CLAY COUNTY,CLAY COUNTY M,25,822.24,24.0,60.0,16.0,76.0,25,828.00,12.0,68.0,20.0,88.0,25,808.68,32.0,60.0,8.0,68.0,25,785.40,76.0,24.0,0.0,24.0,25,778.60,72.0,28.0,0.0,28.0
6310100,CLAYTON COUNTY,M D ROBERTS M,248,840.22,6.5,49.2,44.4,93.5,248,840.37,8.1,57.3,34.7,91.9,248,824.58,19.4,60.9,19.8,80.6,248,813.33,30.2,58.9,10.9,69.8,248,810.51,40.3,46.4,13.3,59.7
6310106,CLAYTON COUNTY,JONESBORO MID,250,823.48,15.6,65.2,19.2,84.4,250,823.02,16.0,70.0,14.0,84.0,250,809.45,37.2,51.2,11.6,62.8,249,801.22,51.8,42.2,6.0,48.2,248,803.11,50.8,36.7,12.5,49.2
6310107,CLAYTON COUNTY,SEQUOYAH MIDD,251,823.37,12.7,70.5,16.7,87.3,251,820.89,12.0,79.3,8.8,88.0,253,806.02,45.1,47.8,7.1,54.9,253,794.26,60.5,39.1,0.4,39.5,251,784.47,75.7,22.7,1.6,24.3
