Key,System Name,School Name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA,Congressional District
6111050,BIBB COUNTY,ALEXANDER II,98,846.64,7.1,36.7,56.1,92.9,98,848.16,5.1,44.9,50.0,94.9,98,857.89,6.1,39.8,54.1,93.9,98,862.26,6.1,29.6,64.3,93.9,97,832.44,11.3,57.7,30.9,88.7,8,8th
6111054,BIBB COUNTY,BERND ELEMENT,70,829.17,15.7,54.3,30.0,84.3,70,833.21,17.1,50.0,32.9,82.9,70,843.54,8.6,41.4,50.0,91.4,70,837.06,20.0,35.7,44.3,80.0,70,822.17,21.4,60.0,18.6,78.6,8,8th
6111058,BIBB COUNTY,KING DANFORTH,40,800.43,52.5,45.0,2.5,47.5,42,807.38,33.3,64.3,2.4,66.7,42,791.17,66.7,33.3,0.0,33.3,45,783.33,68.9,28.9,2.2,31.1,45,779.71,86.7,13.3,0.0,13.3,8,8th
6111067,BIBB COUNTY,PORTER ELEMEN,99,843.83,7.1,48.5,44.4,92.9,99,842.73,8.1,47.5,44.4,91.9,98,833.33,14.3,44.9,40.8,85.7,99,853.67,9.1,36.4,54.5,90.9,99,833.60,10.1,60.6,29.3,89.9,8,8th
6111105,BIBB COUNTY,SPRINGDALE EL,97,850.13,4.1,39.2,56.7,95.9,97,853.64,1.0,42.3,56.7,99.0,98,833.89,11.2,51.0,37.8,88.8,98,850.73,9.2,35.7,55.1,90.8,97,834.67,11.3,60.8,27.8,88.7,8,8th
6111205,BIBB COUNTY,CARTER ELEMEN,85,839.31,9.4,50.6,40.0,90.6,86,835.92,12.8,51.2,36.0,87.2,85,832.84,14.1,48.2,37.6,85.9,88,839.83,14.8,37.5,47.7,85.2,88,830.91,14.8,51.1,34.1,85.2,8,8th
6111305,BIBB COUNTY,LANE ELEMENTA,98,834.00,13.3,53.1,33.7,86.7,94,839.86,7.4,53.2,39.4,92.6,94,825.49,17.0,55.3,27.7,83.0,98,832.87,22.4,38.8,38.8,77.6,98,828.87,16.3,59.2,24.5,83.7,8,8th
6112060,BIBB COUNTY,HARTLEY ELEME,47,810.09,36.2,51.1,12.8,63.8,47,812.32,34.0,59.6,6.4,66.0,46,802.26,50.0,43.5,6.5,50.0,50,781.62,72.0,26.0,2.0,28.0,50,787.62,70.0,30.0,0.0,30.0,8,8th
6113060,BIBB COUNTY,HEARD ELEMENT,92,829.71,14.1,62.0,23.9,85.9,92,829.72,12.0,63.0,25.0,88.0,92,826.36,20.7,50.0,29.3,79.3,93,831.44,15.1,54.8,30.1,84.9,93,823.68,14.0,71.0,15.1,86.0,8,8th
6113062,BIBB COUNTY,JONES ELEMENT,69,812.20,29.0,65.2,5.8,71.0,69,818.65,31.9,52.2,15.9,68.1,71,807.00,35.2,53.5,11.3,64.8,74,807.43,44.6,39.2,16.2,55.4,74,795.54,60.8,33.8,5.4,39.2,8,8th
6113067,BIBB COUNTY,INGRAM PYE EL,69,811.75,34.8,58.0,7.2,65.2,71,813.15,33.8,53.5,12.7,66.2,71,800.52,46.5,45.1,8.5,53.5,72,793.63,61.1,31.9,6.9,38.9,72,795.01,56.9,43.1,0.0,43.1,8,8th
6114052,BIBB COUNTY,BARDEN ELEMEN,53,824.30,11.3,67.9,20.8,88.7,52,825.48,9.6,73.1,17.3,90.4,52,808.02,42.3,48.1,9.6,57.7,56,797.29,53.6,41.1,5.4,46.4,56,796.07,50.0,48.2,1.8,50.0,8,8th
6115054,BIBB COUNTY,BURGHARD ELEM,58,803.71,48.3,48.3,3.4,51.7,59,803.78,54.2,35.6,10.2,45.8,56,795.18,60.7,32.1,7.1,39.3,59,791.93,64.4,32.2,3.4,35.6,59,787.59,76.3,22.0,1.7,23.7,8,8th
6115067,BIBB COUNTY,RICE ELEMENTA,105,810.37,37.1,54.3,8.6,62.9,106,816.62,29.2,52.8,17.9,70.8,106,798.76,50.0,43.4,6.6,50.0,108,798.19,54.6,33.3,12.0,45.4,108,795.90,55.6,44.4,0.0,44.4,8,8th
6120197,BLECKLEY COUNTY,BLECKLEY CO E,166,856.23,4.2,31.3,64.5,95.8,163,856.80,0.0,42.3,57.7,100.0,167,844.80,6.6,46.7,46.7,93.4,167,848.38,9.6,40.1,50.3,90.4,167,834.69,9.0,57.5,33.5,91.0,6,8th
6130110,BRANTLEY COUNTY,ATKINSON ELEM,93,827.73,17.2,54.8,28.0,82.8,93,829.11,15.1,58.1,26.9,84.9,92,817.27,30.4,46.7,22.8,69.6,92,842.29,18.5,34.8,46.7,81.5,91,828.44,18.7,48.4,33.0,81.3,13,1st
6130294,BRANTLEY COUNTY,NAHUNTA ELEME,86,842.29,9.3,47.7,43.0,90.7,86,838.58,8.1,57.0,34.9,91.9,86,833.31,19.8,52.3,27.9,80.2,87,869.44,3.4,20.7,75.9,96.6,87,842.39,8.0,51.7,40.2,92.0,13,1st
6132050,BRANTLEY COUNTY,HOBOKEN ELEME,69,846.72,4.3,40.6,55.1,95.7,68,843.68,4.4,52.9,42.6,95.6,69,847.13,5.8,43.5,50.7,94.2,69,868.23,1.4,21.7,76.8,98.6,69,855.36,2.9,40.6,56.5,97.1,13,1st
6140193,BROOKS COUNTY,QUITMAN ELEME,95,830.62,12.6,55.8,31.6,87.4,95,825.96,12.6,69.5,17.9,87.4,95,829.46,17.9,51.6,30.5,82.1,95,826.72,24.2,45.3,30.5,75.8,95,811.40,36.8,55.8,7.4,63.2,3,2nd
6140393,BROOKS COUNTY,NORTH BROOKS,77,836.42,13.0,50.6,36.4,87.0,77,834.68,10.4,55.8,33.8,89.6,77,845.05,10.4,37.7,51.9,89.6,77,827.18,22.1,51.9,26.0,77.9,77,827.87,13.0,66.2,20.8,87.0,3,2nd
6150101,BRYAN COUNTY,DR GEORGE WA,421,845.67,4.5,47.5,48.0,95.5,420,843.95,6.4,51.2,42.4,93.6,422,840.84,12.1,43.8,44.1,87.9,421,856.76,8.3,35.6,56.1,91.7,421,835.41,8.3,60.8,30.9,91.7,4,1st
6150286,BRYAN COUNTY,BRYAN CO ELEM,154,838.58,11.0,46.8,42.2,89.0,150,840.10,10.7,50.0,39.3,89.3,150,844.29,6.7,42.7,50.7,93.3,159,841.44,13.2,47.2,39.6,86.8,159,825.04,13.8,66.0,20.1,86.2,4,12th
6160100,BULLOCH COUNTY,MILL CREEK EL,86,836.98,12.8,48.8,38.4,87.2,86,831.13,18.6,48.8,32.6,81.4,86,822.70,30.2,45.3,24.4,69.8,86,821.38,25.6,53.5,20.9,74.4,86,815.06,19.8,74.4,5.8,80.2,4,12th
6160107,BULLOCH COUNTY,NEW NEVILS EL,56,838.91,7.1,50.0,42.9,92.9,56,835.36,10.7,55.4,33.9,89.3,56,823.07,23.2,51.8,25.0,76.8,56,829.43,16.1,62.5,21.4,83.9,56,810.14,19.6,78.6,1.8,80.4,4,12th
6160199,BULLOCH COUNTY,LANGSTON C EL,99,824.05,18.2,54.5,27.3,81.8,99,819.20,28.3,52.5,19.2,71.7,99,817.81,27.3,48.5,24.2,72.7,99,821.55,31.3,40.4,28.3,68.7,99,809.64,39.4,50.5,10.1,60.6,4,12th
6160200,BULLOCH COUNTY,BROOKLET ELEM,107,840.38,4.7,52.3,43.0,95.3,107,835.87,8.4,59.8,31.8,91.6,107,828.91,19.6,49.5,30.8,80.4,107,839.00,13.1,47.7,39.3,86.9,107,822.86,15.9,72.9,11.2,84.1,4,12th
6160399,BULLOCH COUNTY,PORTAL ELEMEN,64,829.47,17.2,59.4,23.4,82.8,64,831.38,12.5,56.3,31.3,87.5,64,823.30,21.9,48.4,29.7,78.1,64,831.44,21.9,45.3,32.8,78.1,64,817.13,26.6,59.4,14.1,73.4,4,12th
6162050,BULLOCH COUNTY,BRYANT ELEMEN,122,837.99,11.5,44.3,44.3,88.5,122,832.03,13.9,57.4,28.7,86.1,122,835.56,19.7,40.2,40.2,80.3,122,828.67,27.9,41.0,31.1,72.1,121,813.14,26.4,66.1,7.4,73.6,4,12th
6163054,BULLOCH COUNTY,STILSON ELEME,51,836.94,7.8,56.9,35.3,92.2,51,831.08,7.8,64.7,27.5,92.2,51,837.14,11.8,54.9,33.3,88.2,51,852.84,7.8,29.4,62.7,92.2,51,826.33,13.7,68.6,17.6,86.3,4,12th
6165050,BULLOCH COUNTY,MATTIE LIVELY,88,834.13,14.8,45.5,39.8,85.2,88,833.34,13.6,53.4,33.0,86.4,88,815.14,30.7,51.1,18.2,69.3,88,834.02,18.2,45.5,36.4,81.8,88,823.31,20.5,58.0,21.6,79.5,4,12th
6165054,BULLOCH COUNTY,SALLIE ZETTER,70,835.57,10.0,52.9,37.1,90.0,70,832.30,17.1,58.6,24.3,82.9,71,828.86,16.9,56.3,26.8,83.1,71,854.34,12.7,31.0,56.3,87.3,70,844.93,12.9,41.4,45.7,87.1,4,12th
6170104,BURKE COUNTY,BLAKENEY ELEM,307,828.52,21.5,47.2,31.3,78.5,306,829.92,16.3,56.2,27.5,83.7,303,828.19,20.5,45.5,34.0,79.5,308,815.66,37.0,43.8,19.2,63.0,308,804.11,45.8,48.1,6.2,54.2,1,12th
6170196,BURKE COUNTY,S G A ELEMENT,56,834.41,10.7,55.4,33.9,89.3,56,838.48,3.6,60.7,35.7,96.4,56,832.27,14.3,50.0,35.7,85.7,57,817.28,31.6,47.4,21.1,68.4,57,812.42,38.6,54.4,7.0,61.4,1,12th
6180104,BUTTS COUNTY,HAMPTON L DAU,81,834.75,7.4,58.0,34.6,92.6,78,841.15,3.8,57.7,38.5,96.2,79,823.10,17.7,60.8,21.5,82.3,81,835.67,13.6,45.7,40.7,86.4,81,820.86,11.1,72.8,16.0,88.9,5,8th
6180108,BUTTS COUNTY,STARK ELEMENT,94,828.51,18.1,53.2,28.7,81.9,95,827.39,17.9,54.7,27.4,82.1,94,821.01,22.3,53.2,24.5,77.7,96,818.73,34.4,45.8,19.8,65.6,97,808.53,41.2,48.5,10.3,58.8,5,8th
6180111,BUTTS COUNTY,NEW JACKSON E,85,822.14,22.4,54.1,23.5,77.6,85,821.95,24.7,56.5,18.8,75.3,85,814.18,38.8,37.6,23.5,61.2,87,818.98,34.5,41.4,24.1,65.5,87,814.08,34.5,49.4,16.1,65.5,5,8th
6190179,CALHOUN COUNTY,CALHOUN CO EL,43,821.60,23.3,55.8,20.9,76.7,44,829.25,15.9,61.4,22.7,84.1,42,816.79,28.6,54.8,16.7,71.4,45,821.78,33.3,35.6,31.1,66.7,45,806.82,35.6,55.6,8.9,64.4,15,2nd
6200100,CAMDEN COUNTY,MAMIE LOU GRO,50,847.32,6.0,40.0,54.0,94.0,49,841.61,6.1,49.0,44.9,93.9,50,853.14,10.0,26.0,64.0,90.0,50,857.86,10.0,28.0,62.0,90.0,50,835.62,10.0,50.0,40.0,90.0,4,1st
6200110,CAMDEN COUNTY,SAINT MARYS E,106,838.26,13.2,45.3,41.5,86.8,102,841.93,8.8,49.0,42.2,91.2,102,839.76,12.7,40.2,47.1,87.3,105,838.33,20.0,36.2,43.8,80.0,105,830.97,16.2,56.2,27.6,83.8,4,1st
6200187,CAMDEN COUNTY,CROOKED RIVER,58,847.60,3.4,43.1,53.4,96.6,57,844.33,1.8,52.6,45.6,98.2,56,847.46,5.4,48.2,46.4,94.6,58,849.64,5.2,39.7,55.2,94.8,58,833.34,3.4,67.2,29.3,96.6,4,1st
6200189,CAMDEN COUNTY,MATILDA HARRI,70,852.59,0.0,42.9,57.1,100.0,70,849.63,2.9,42.9,54.3,97.1,70,840.79,5.7,50.0,44.3,94.3,70,858.56,8.6,22.9,68.6,91.4,70,835.29,10.0,55.7,34.3,90.0,4,1st
6200192,CAMDEN COUNTY,WOODBINE ELEM,55,830.78,10.9,60.0,29.1,89.1,54,835.67,11.1,59.3,29.6,88.9,56,841.21,8.9,48.2,42.9,91.1,56,840.41,12.5,53.6,33.9,87.5,56,826.80,16.1,66.1,17.9,83.9,4,1st
6200193,CAMDEN COUNTY,KINGSLAND ELE,82,841.52,4.9,52.4,42.7,95.1,83,836.51,8.4,50.6,41.0,91.6,84,825.54,23.8,44.0,32.1,76.2,84,838.23,17.9,42.9,39.3,82.1,84,823.14,16.7,66.7,16.7,83.3,4,1st
6200195,CAMDEN COUNTY,DAVID L RAINE,98,844.69,9.2,39.8,51.0,90.8,98,844.94,7.1,54.1,38.8,92.9,97,840.18,15.5,45.4,39.2,84.5,98,843.86,12.2,40.8,46.9,87.8,98,831.74,9.2,61.2,29.6,90.8,4,1st
6200197,CAMDEN COUNTY,SUGARMILL ELE,73,843.89,2.7,49.3,47.9,97.3,72,845.86,1.4,52.8,45.8,98.6,72,839.82,6.9,50.0,43.1,93.1,74,846.86,10.8,39.2,50.0,89.2,74,827.76,10.8,70.3,18.9,89.2,4,1st
6200495,CAMDEN COUNTY,MARY LEE CLAR,108,845.01,5.6,50.9,43.5,94.4,108,847.64,3.7,54.6,41.7,96.3,105,828.18,19.0,51.4,29.5,81.0,108,848.01,6.5,37.0,56.5,93.5,108,823.13,11.1,78.7,10.2,88.9,4,1st
6210202,CANDLER COUNTY,METTER INTERM,144,837.40,8.3,53.5,38.2,91.7,144,832.73,10.4,61.8,27.8,89.6,139,840.09,10.8,50.4,38.8,89.2,150,847.76,14.0,36.7,49.3,86.0,150,828.87,15.3,56.7,28.0,84.7,4,12th
