Key,System name,School name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard
6050199,BALDWIN COUNTY,CREEKSIDE ELE,152,834.29,11.2,56.6,32.2,88.8,152,826.43,15.1,61.2,23.7,84.9,152,821.99,32.9,38.8,28.3,67.1,152,821.51,27.0,50.7,22.4,73.0,152,814.94,29.6,60.5,9.9,70.4
6060107,BANKS COUNTY,BANKS CO ELEM,230,836.11,10.4,51.7,37.8,89.6,231,832.05,12.6,52.8,34.6,87.4,231,832.74,19.9,45.0,35.1,80.1,230,832.38,13.9,53.9,32.2,86.1,228,816.00,26.3,63.2,10.5,73.7
6070105,BARROW COUNTY,COUNTY LINE E,162,829.99,11.1,61.7,27.2,88.9,162,823.19,16.7,68.5,14.8,83.3,162,828.04,21.6,50.0,28.4,78.4,162,825.17,21.0,53.7,25.3,79.0,162,816.50,22.2,69.8,8.0,77.8
6070189,BARROW COUNTY,KENNEDY ELEME,104,837.04,1.0,71.2,27.9,99.0,104,834.58,7.7,60.6,31.7,92.3,104,823.63,24.0,59.6,16.3,76.0,104,825.44,20.2,57.7,22.1,79.8,104,819.52,16.3,73.1,10.6,83.7
6070193,BARROW COUNTY,BRAMLETT ELEM,124,839.35,4.0,56.5,39.5,96.0,124,833.98,8.9,58.9,32.3,91.1,124,838.26,10.5,49.2,40.3,89.5,124,836.72,13.7,54.8,31.5,86.3,124,828.66,7.3,71.8,21.0,92.7
6070205,BARROW COUNTY,BETHLEHEM ELE,150,833.63,8.7,58.7,32.7,91.3,150,831.01,12.7,57.3,30.0,87.3,150,831.54,24.7,36.7,38.7,75.3,150,828.41,23.3,50.0,26.7,76.7,150,822.99,18.7,62.7,18.7,81.3
6070298,BARROW COUNTY,YARGO ELEMENT,148,837.09,4.7,58.8,36.5,95.3,148,836.24,7.4,55.4,37.2,92.6,148,833.82,16.9,50.7,32.4,83.1,148,828.07,15.5,59.5,25.0,84.5,148,820.61,15.5,73.0,11.5,84.5
6071050,BARROW COUNTY,AUBURN ELEMEN,85,833.01,4.7,63.5,31.8,95.3,85,834.69,8.2,62.4,29.4,91.8,85,833.69,16.5,49.4,34.1,83.5,85,822.16,21.2,57.6,21.2,78.8,85,821.08,22.4,56.5,21.2,77.6
6074050,BARROW COUNTY,HOLSENBECK EL,128,832.42,9.4,64.1,26.6,90.6,128,829.84,10.9,64.8,24.2,89.1,128,826.52,17.2,59.4,23.4,82.8,128,822.03,21.1,60.9,18.0,78.9,128,813.80,25.0,64.1,10.9,75.0
6075050,BARROW COUNTY,STATHAM ELEME,124,830.53,16.1,54.8,29.0,83.9,124,822.85,21.0,59.7,19.4,79.0,124,824.76,30.6,34.7,34.7,69.4,124,820.07,27.4,52.4,20.2,72.6,124,810.75,30.6,63.7,5.6,69.4
6080104,BARTOW COUNTY,CLEAR CREEK E,82,841.96,3.7,52.4,43.9,96.3,82,840.63,3.7,58.5,37.8,96.3,82,839.17,17.1,43.9,39.0,82.9,82,836.78,6.1,59.8,34.1,93.9,82,826.71,6.1,74.4,19.5,93.9
6080106,BARTOW COUNTY,PINE LOG ELEM,69,839.06,7.2,49.3,43.5,92.8,69,839.04,11.6,50.7,37.7,88.4,69,834.80,17.4,44.9,37.7,82.6,69,828.36,14.5,56.5,29.0,85.5,68,815.49,19.1,75.0,5.9,80.9
6080107,BARTOW COUNTY,EUHARLEE ELEM,117,835.29,9.4,54.7,35.9,90.6,116,833.76,15.5,46.6,37.9,84.5,116,828.91,23.3,44.8,31.9,76.7,115,822.53,26.1,52.2,21.7,73.9,116,804.56,37.9,59.5,2.6,62.1
6080175,BARTOW COUNTY,WHITE ELEMENT,89,836.65,10.1,51.7,38.2,89.9,89,836.34,10.1,57.3,32.6,89.9,89,828.29,20.2,46.1,33.7,79.8,89,820.08,22.5,64.0,13.5,77.5,89,805.55,32.6,66.3,1.1,67.4
6080177,BARTOW COUNTY,ADAIRSVILLE E,96,833.83,10.4,53.1,36.5,89.6,96,830.93,11.5,60.4,28.1,88.5,96,830.25,24.0,42.7,33.3,76.0,96,830.99,16.7,49.0,34.4,83.3,96,819.51,25.0,61.5,13.5,75.0
6080186,BARTOW COUNTY,MISSION ROAD,98,843.02,3.1,58.2,38.8,96.9,98,836.57,5.1,62.2,32.7,94.9,98,838.54,17.3,44.9,37.8,82.7,98,832.35,16.3,54.1,29.6,83.7,98,827.23,11.2,69.4,19.4,88.8
6080196,BARTOW COUNTY,ALLATOONA ELE,92,842.92,9.8,45.7,44.6,90.2,93,845.59,8.6,41.9,49.5,91.4,93,844.34,15.1,35.5,49.5,84.9,93,828.78,15.1,61.3,23.7,84.9,93,824.20,18.3,63.4,18.3,81.7
6080296,BARTOW COUNTY,KINGSTON ELEM,91,838.30,7.7,58.2,34.1,92.3,91,830.84,6.6,69.2,24.2,93.4,91,820.45,24.2,57.1,18.7,75.8,91,823.85,14.3,60.4,25.3,85.7,91,816.07,24.2,67.0,8.8,75.8
6080377,BARTOW COUNTY,HAMILTON CROS,113,841.90,11.5,42.5,46.0,88.5,113,837.17,12.4,42.5,45.1,87.6,113,832.12,22.1,40.7,37.2,77.9,112,826.96,17.9,57.1,25.0,82.1,112,814.45,22.3,69.6,8.0,77.7
6080396,BARTOW COUNTY,TAYLORSVILLE,77,855.83,1.3,33.8,64.9,98.7,77,862.69,3.9,24.7,71.4,96.1,77,862.27,3.9,26.0,70.1,96.1,77,868.22,1.3,23.4,75.3,98.7,77,858.48,5.2,32.5,62.3,94.8
6081052,BARTOW COUNTY,CLOVERLEAF EL,101,835.45,5.0,62.4,32.7,95.0,101,836.43,5.0,62.4,32.7,95.0,101,835.14,11.9,57.4,30.7,88.1,101,824.45,16.8,66.3,16.8,83.2,101,816.23,21.8,70.3,7.9,78.2
6082052,BARTOW COUNTY,EMERSON ELEME,60,828.25,11.7,60.0,28.3,88.3,60,829.35,8.3,65.0,26.7,91.7,60,824.92,21.7,61.7,16.7,78.3,60,814.87,25.0,61.7,13.3,75.0,60,801.25,36.7,61.7,1.7,63.3
6091050,BEN HILL COUNTY,BEN HILL CO E,257,829.91,12.5,60.3,27.2,87.5,257,828.65,11.3,65.0,23.7,88.7,258,825.89,19.8,54.7,25.6,80.2,258,825.74,20.9,55.0,24.0,79.1,257,815.09,26.5,65.0,8.6,73.5
6100195,BERRIEN COUNTY,BERRIEN ELEME,247,845.04,2.8,50.2,47.0,97.2,247,838.49,5.3,57.9,36.8,94.7,248,846.39,9.3,44.8,46.0,90.7,248,838.63,11.7,51.2,37.1,88.3,247,827.01,12.6,69.6,17.8,87.4
6110103,BIBB COUNTY,SKYVIEW ELEME,110,843.12,5.5,49.1,45.5,94.5,110,843.26,5.5,50.9,43.6,94.5,110,845.78,9.1,48.2,42.7,90.9,110,837.25,9.1,57.3,33.6,90.9,110,827.23,11.8,66.4,21.8,88.2
6110104,BIBB COUNTY,BURDELL ELEME,80,823.05,15.0,62.5,22.5,85.0,80,822.40,17.5,58.8,23.8,82.5,80,812.95,32.5,46.3,21.3,67.5,80,809.79,41.3,41.3,17.5,58.8,80,807.53,40.0,53.8,6.3,60.0
6110109,BIBB COUNTY,BRUCE ELEMENT,88,803.06,35.2,64.8,0.0,64.8,88,801.25,47.7,51.1,1.1,52.3,88,787.08,67.0,30.7,2.3,33.0,88,786.66,71.6,28.4,0.0,28.4,88,790.57,62.5,36.4,1.1,37.5
6110203,BIBB COUNTY,VINEVILLE ACA,91,835.13,6.6,57.1,36.3,93.4,91,831.99,9.9,63.7,26.4,90.1,91,833.63,17.6,51.6,30.8,82.4,91,829.71,15.4,56.0,28.6,84.6,91,828.14,7.7,74.7,17.6,92.3
6110307,BIBB COUNTY,PRICE EDUCATI,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--
6110383,BIBB COUNTY,WILLIAMS ELEM,53,808.02,34.0,58.5,7.5,66.0,51,809.49,43.1,47.1,9.8,56.9,53,797.64,47.2,45.3,7.5,52.8,50,787.18,68.0,30.0,2.0,32.0,50,791.94,58.0,40.0,2.0,42.0
6110405,BIBB COUNTY,ROSA TAYLOR E,82,830.00,11.0,63.4,25.6,89.0,82,827.94,13.4,65.9,20.7,86.6,82,826.98,17.1,54.9,28.0,82.9,82,821.05,20.7,62.2,17.1,79.3,82,821.01,18.3,68.3,13.4,81.7
6110407,BIBB COUNTY,MACON HEALTH,4,--,--,--,--,--,4,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--
6110605,BIBB COUNTY,HERITAGE ELEM,120,828.93,11.7,63.3,25.0,88.3,120,830.29,10.8,62.5,26.7,89.2,120,837.54,15.0,50.0,35.0,85.0,120,823.65,20.0,55.8,24.2,80.0,119,820.16,17.6,69.7,12.6,82.4
6110705,BIBB COUNTY,UNION ELEMENT,110,815.23,21.8,66.4,11.8,78.2,110,808.75,30.9,66.4,2.7,69.1,110,814.63,28.2,56.4,15.5,71.8,109,796.15,46.8,51.4,1.8,53.2,109,800.65,42.2,57.8,0.0,57.8
6110805,BIBB COUNTY,RILEY ELEMENT,69,811.25,33.3,58.0,8.7,66.7,69,809.81,33.3,56.5,10.1,66.7,69,797.13,63.8,21.7,14.5,36.2,69,797.93,58.0,37.7,4.3,42.0,69,799.80,46.4,52.2,1.4,53.6
6110905,BIBB COUNTY,MORGAN ELEMEN,84,819.19,17.9,66.7,15.5,82.1,84,816.14,28.6,56.0,15.5,71.4,84,812.73,33.3,47.6,19.0,66.7,82,806.76,47.6,39.0,13.4,52.4,81,807.99,37.0,58.0,4.9,63.0
6111005,BIBB COUNTY,BROOKDALE ELE,69,821.41,13.0,75.4,11.6,87.0,69,816.74,21.7,68.1,10.1,78.3,69,801.54,44.9,52.2,2.9,55.1,69,794.70,52.2,47.8,0.0,47.8,69,797.49,50.7,47.8,1.4,49.3
6111050,BIBB COUNTY,ALEXANDER II,101,846.53,3.0,48.5,48.5,97.0,101,848.16,4.0,48.5,47.5,96.0,101,857.23,5.0,38.6,56.4,95.0,101,846.10,5.0,50.5,44.6,95.0,101,842.09,7.9,51.5,40.6,92.1
6111054,BIBB COUNTY,BERND ELEMENT,78,833.92,5.1,70.5,24.4,94.9,78,829.64,9.0,67.9,23.1,91.0,78,826.13,20.5,51.3,28.2,79.5,78,822.04,23.1,57.7,19.2,76.9,78,829.13,14.1,62.8,23.1,85.9
6111058,BIBB COUNTY,KING DANFORTH,43,802.05,41.9,51.2,7.0,58.1,43,805.56,46.5,44.2,9.3,53.5,43,787.19,65.1,32.6,2.3,34.9,43,786.28,62.8,37.2,0.0,37.2,42,785.24,73.8,26.2,0.0,26.2
6111067,BIBB COUNTY,PORTER ELEMEN,108,839.20,5.6,57.4,37.0,94.4,108,838.75,7.4,58.3,34.3,92.6,108,834.93,13.9,48.1,38.0,86.1,108,826.34,13.9,62.0,24.1,86.1,108,824.65,10.2,75.9,13.9,89.8
6111105,BIBB COUNTY,SPRINGDALE EL,112,842.02,5.4,48.2,46.4,94.6,112,841.91,4.5,50.0,45.5,95.5,112,837.80,14.3,48.2,37.5,85.7,112,837.06,11.6,49.1,39.3,88.4,112,836.71,12.5,55.4,32.1,87.5
6111205,BIBB COUNTY,CARTER ELEMEN,93,840.99,8.6,48.4,43.0,91.4,92,836.60,12.0,55.4,32.6,88.0,94,829.01,23.4,45.7,30.9,76.6,92,830.57,19.6,46.7,33.7,80.4,92,833.53,13.0,53.3,33.7,87.0
6111305,BIBB COUNTY,LANE ELEMENTA,89,834.10,9.0,60.7,30.3,91.0,89,840.02,11.2,46.1,42.7,88.8,89,835.83,20.2,44.9,34.8,79.8,89,826.47,22.5,47.2,30.3,77.5,89,835.17,15.7,51.7,32.6,84.3
6112060,BIBB COUNTY,HARTLEY ELEME,61,807.79,37.7,54.1,8.2,62.3,63,807.62,34.9,58.7,6.3,65.1,63,793.67,57.1,36.5,6.3,42.9,62,790.26,69.4,29.0,1.6,30.6,63,790.73,63.5,36.5,0.0,36.5
6113060,BIBB COUNTY,HEARD ELEMENT,96,830.03,9.4,64.6,26.0,90.6,96,837.15,5.2,61.5,33.3,94.8,96,836.68,10.4,52.1,37.5,89.6,96,834.09,7.3,68.8,24.0,92.7,95,829.06,6.3,75.8,17.9,93.7
6113062,BIBB COUNTY,JONES ELEMENT,80,813.80,27.5,62.5,10.0,72.5,79,814.03,31.6,57.0,11.4,68.4,79,808.99,43.0,46.8,10.1,57.0,79,796.05,54.4,40.5,5.1,45.6,79,804.70,43.0,54.4,2.5,57.0
6113067,BIBB COUNTY,INGRAM PYE EL,88,806.58,39.8,52.3,8.0,60.2,88,805.43,43.2,52.3,4.5,56.8,86,794.58,57.0,32.6,10.5,43.0,86,793.93,55.8,38.4,5.8,44.2,83,795.12,59.0,37.3,3.6,41.0
6114052,BIBB COUNTY,BARDEN ELEMEN,54,829.33,16.7,51.9,31.5,83.3,54,820.78,24.1,50.0,25.9,75.9,54,809.07,37.0,48.1,14.8,63.0,53,796.94,50.9,47.2,1.9,49.1,53,795.43,49.1,49.1,1.9,50.9
6115054,BIBB COUNTY,BURGHARD ELEM,62,805.02,43.5,50.0,6.5,56.5,62,800.40,48.4,45.2,6.5,51.6,62,782.26,61.3,35.5,3.2,38.7,60,787.28,63.3,33.3,3.3,36.7,61,786.72,67.2,32.8,0.0,32.8
6115067,BIBB COUNTY,RICE ELEMENTA,87,819.20,20.7,66.7,12.6,79.3,87,818.89,24.1,56.3,19.5,75.9,87,809.20,36.8,50.6,12.6,63.2,87,805.06,40.2,52.9,6.9,59.8,87,801.63,40.2,57.5,2.3,59.8
6120197,BLECKLEY COUNTY,BLECKLEY CO E,163,852.27,2.5,40.5,57.1,97.5,163,851.63,3.1,38.7,58.3,96.9,163,849.20,7.4,39.9,52.8,92.6,163,850.94,4.3,44.2,51.5,95.7,163,831.39,9.2,64.4,26.4,90.8
6130101,BRANTLEY COUNTY,WAYNESVILLE E,95,830.54,10.5,60.0,29.5,89.5,95,829.46,10.5,63.2,26.3,89.5,95,819.00,33.7,43.2,23.2,66.3,95,829.76,21.1,50.5,28.4,78.9,95,817.38,24.2,62.1,13.7,75.8
6132050,BRANTLEY COUNTY,HOBOKEN ELEME,70,836.46,7.1,51.4,41.4,92.9,70,834.04,11.4,57.1,31.4,88.6,70,840.70,10.0,44.3,45.7,90.0,70,844.29,5.7,52.9,41.4,94.3,70,834.73,7.1,62.9,30.0,92.9
6133050,BRANTLEY COUNTY,NAHUNTA PRIMA,85,846.49,2.4,54.1,43.5,97.6,85,843.86,5.9,54.1,40.0,94.1,85,841.45,12.9,48.2,38.8,87.1,85,847.88,3.5,55.3,41.2,96.5,85,835.71,4.7,62.4,32.9,95.3
6140193,BROOKS COUNTY,QUITMAN ELEME,106,828.69,13.2,66.0,20.8,86.8,106,823.17,18.9,65.1,16.0,81.1,106,826.99,25.5,43.4,31.1,74.5,106,817.18,31.1,54.7,14.2,68.9,106,800.68,47.2,50.9,1.9,52.8
6140393,BROOKS COUNTY,NORTH BROOKS,75,844.11,4.0,52.0,44.0,96.0,75,838.99,6.7,56.0,37.3,93.3,75,842.41,12.0,40.0,48.0,88.0,75,835.73,14.7,50.7,34.7,85.3,75,821.89,18.7,68.0,13.3,81.3
6150286,BRYAN COUNTY,BRYAN CO ELEM,153,829.90,13.7,60.1,26.1,86.3,153,828.89,14.4,62.7,22.9,85.6,153,828.11,22.9,49.7,27.5,77.1,153,832.67,11.1,61.4,27.5,88.9,153,825.93,11.8,69.3,19.0,88.2
6150302,BRYAN COUNTY,RICHMOND ELEM,408,844.48,3.4,49.3,47.3,96.6,408,840.33,3.9,57.1,39.0,96.1,408,848.34,7.1,47.3,45.6,92.9,408,847.09,4.7,45.3,50.0,95.3,408,842.65,3.7,55.1,41.2,96.3
6160100,BULLOCH COUNTY,MILL CREEK EL,95,837.65,9.5,48.4,42.1,90.5,95,831.75,15.8,55.8,28.4,84.2,95,828.07,28.4,35.8,35.8,71.6,95,837.86,11.6,50.5,37.9,88.4,95,824.42,17.9,61.1,21.1,82.1
6160107,BULLOCH COUNTY,NEW NEVILS EL,56,844.98,1.8,51.8,46.4,98.2,56,843.45,5.4,57.1,37.5,94.6,56,844.80,8.9,48.2,42.9,91.1,56,847.82,3.6,46.4,50.0,96.4,56,837.38,3.6,62.5,33.9,96.4
6160199,BULLOCH COUNTY,LANGSTON C EL,102,824.39,16.7,59.8,23.5,83.3,102,820.24,25.5,54.9,19.6,74.5,102,819.03,27.5,47.1,25.5,72.5,102,813.93,36.3,45.1,18.6,63.7,101,800.72,46.5,52.5,1.0,53.5
6160200,BULLOCH COUNTY,BROOKLET ELEM,100,849.23,3.0,42.0,55.0,97.0,100,837.54,7.0,59.0,34.0,93.0,100,838.30,14.0,46.0,40.0,86.0,100,839.42,4.0,59.0,37.0,96.0,100,834.01,10.0,60.0,30.0,90.0
6160399,BULLOCH COUNTY,PORTAL ELEMEN,62,839.52,11.3,46.8,41.9,88.7,62,834.76,12.9,46.8,40.3,87.1,62,837.98,12.9,41.9,45.2,87.1,62,833.69,9.7,66.1,24.2,90.3,62,829.73,3.2,77.4,19.4,96.8
6162050,BULLOCH COUNTY,BRYANT ELEMEN,113,834.87,13.3,49.6,37.2,86.7,113,825.98,18.6,56.6,24.8,81.4,113,826.05,29.2,36.3,34.5,70.8,113,815.48,31.9,49.6,18.6,68.1,113,800.79,38.9,60.2,0.9,61.1
6163054,BULLOCH COUNTY,STILSON ELEME,58,847.62,0.0,46.6,53.4,100.0,57,840.53,0.0,61.4,38.6,100.0,57,854.86,5.3,35.1,59.6,94.7,57,849.65,3.5,52.6,43.9,96.5,57,835.61,5.3,68.4,26.3,94.7
6165050,BULLOCH COUNTY,MATTIE LIVELY,85,834.86,4.7,62.4,32.9,95.3,85,828.69,11.8,64.7,23.5,88.2,85,826.73,22.4,50.6,27.1,77.6,85,822.51,17.6,63.5,18.8,82.4,85,815.61,18.8,71.8,9.4,81.2
6165054,BULLOCH COUNTY,SALLIE ZETTER,74,842.76,5.4,56.8,37.8,94.6,73,828.77,5.5,76.7,17.8,94.5,73,836.60,17.8,47.9,34.2,82.2,73,835.90,12.3,58.9,28.8,87.7,73,824.49,15.1,65.8,19.2,84.9
6170104,BURKE COUNTY,BLAKENEY ELEM,310,828.09,8.7,68.4,22.9,91.3,310,830.78,11.6,60.3,28.1,88.4,310,831.89,23.2,42.3,34.5,76.8,310,815.48,32.3,54.2,13.5,67.7,310,811.62,31.9,58.7,9.4,68.1
6170196,BURKE COUNTY,S G A ELEMENT,56,827.84,5.4,69.6,25.0,94.6,56,832.02,8.9,60.7,30.4,91.1,56,835.66,16.1,50.0,33.9,83.9,56,814.91,30.4,58.9,10.7,69.6,56,809.86,39.3,48.2,12.5,60.7
6180104,BUTTS COUNTY,HAMPTON L DAU,86,838.30,1.2,61.6,37.2,98.8,86,836.05,3.5,65.1,31.4,96.5,86,830.02,18.6,51.2,30.2,81.4,86,843.49,11.6,38.4,50.0,88.4,86,835.08,9.3,50.0,40.7,90.7
6180108,BUTTS COUNTY,STARK ELEMENT,94,828.88,9.6,62.8,27.7,90.4,94,827.90,13.8,59.6,26.6,86.2,94,833.71,18.1,44.7,37.2,81.9,94,822.17,23.4,51.1,25.5,76.6,94,820.56,20.2,64.9,14.9,79.8
6180111,BUTTS COUNTY,NEW JACKSON E,94,830.44,12.8,55.3,31.9,87.2,94,827.80,20.2,51.1,28.7,79.8,94,829.45,27.7,41.5,30.9,72.3,94,823.94,25.5,51.1,23.4,74.5,94,818.13,24.5,60.6,14.9,75.5
6190179,CALHOUN COUNTY,CALHOUN CO EL,59,824.56,10.2,71.2,18.6,89.8,59,827.98,10.2,69.5,20.3,89.8,59,824.56,15.3,62.7,22.0,84.7,59,825.54,16.9,61.0,22.0,83.1,59,818.98,22.0,62.7,15.3,78.0
6200100,CAMDEN COUNTY,MAMIE LOU GRO,58,843.16,5.2,55.2,39.7,94.8,58,835.00,8.6,51.7,39.7,91.4,58,829.07,20.7,51.7,27.6,79.3,58,839.83,6.9,51.7,41.4,93.1,57,832.47,5.3,71.9,22.8,94.7
6200110,CAMDEN COUNTY,SAINT MARYS E,115,840.80,5.2,53.0,41.7,94.8,115,834.84,12.2,49.6,38.3,87.8,115,839.39,19.1,37.4,43.5,80.9,115,840.93,11.3,46.1,42.6,88.7,115,830.95,12.2,57.4,30.4,87.8
6200187,CAMDEN COUNTY,CROOKED RIVER,70,841.24,2.9,51.4,45.7,97.1,70,835.24,4.3,67.1,28.6,95.7,71,842.76,5.6,54.9,39.4,94.4,71,844.92,7.0,43.7,49.3,93.0,70,828.79,7.1,78.6,14.3,92.9
6200189,CAMDEN COUNTY,MATILDA HARRI,70,849.96,0.0,41.4,58.6,100.0,70,847.87,2.9,42.9,54.3,97.1,70,870.76,1.4,22.9,75.7,98.6,70,847.40,5.7,38.6,55.7,94.3,70,840.86,2.9,55.7,41.4,97.1
6200192,CAMDEN COUNTY,WOODBINE ELEM,63,833.75,9.5,61.9,28.6,90.5,63,824.87,15.9,63.5,20.6,84.1,63,831.40,23.8,46.0,30.2,76.2,63,835.25,9.5,57.1,33.3,90.5,63,819.52,22.2,61.9,15.9,77.8
6200193,CAMDEN COUNTY,KINGSLAND ELE,78,834.32,6.4,62.8,30.8,93.6,78,831.59,9.0,62.8,28.2,91.0,78,830.05,17.9,46.2,35.9,82.1,78,831.62,12.8,57.7,29.5,87.2,78,817.13,19.2,70.5,10.3,80.8
6200195,CAMDEN COUNTY,DAVID L RAINE,92,844.33,6.5,48.9,44.6,93.5,92,836.65,7.6,60.9,31.5,92.4,92,844.53,10.9,46.7,42.4,89.1,92,839.80,7.6,47.8,44.6,92.4,92,824.53,13.0,68.5,18.5,87.0
6200197,CAMDEN COUNTY,SUGARMILL ELE,85,847.80,5.9,41.2,52.9,94.1,85,842.84,3.5,51.8,44.7,96.5,85,850.91,4.7,40.0,55.3,95.3,85,836.89,11.8,51.8,36.5,88.2,85,815.72,20.0,72.9,7.1,80.0
6200495,CAMDEN COUNTY,MARY LEE CLAR,100,843.07,5.0,49.0,46.0,95.0,100,838.11,4.0,61.0,35.0,96.0,100,837.51,10.0,52.0,38.0,90.0,99,841.60,4.0,49.5,46.5,96.0,99,821.07,13.1,75.8,11.1,86.9
6210302,CANDLER COUNTY,METTER ELEMEN,149,830.58,11.4,59.1,29.5,88.6,149,830.71,11.4,61.1,27.5,88.6,149,827.76,22.8,46.3,30.9,77.2,148,838.16,9.5,48.6,41.9,90.5,148,822.31,20.3,63.5,16.2,79.7
6220100,CARROLL COUNTY,SHARP CREEK E,101,837.16,7.9,58.4,33.7,92.1,101,830.02,13.9,59.4,26.7,86.1,101,841.87,14.9,37.6,47.5,85.1,101,828.11,16.8,59.4,23.8,83.2,101,811.88,25.7,70.3,4.0,74.3
6220176,CARROLL COUNTY,MOUNT ZION EL,106,834.29,6.6,58.5,34.9,93.4,106,828.47,16.0,55.7,28.3,84.0,106,833.14,22.6,39.6,37.7,77.4,106,829.25,17.0,58.5,24.5,83.0,106,820.49,23.6,59.4,17.0,76.4
6220377,CARROLL COUNTY,ROOPVILLE ELE,63,848.17,4.8,42.9,52.4,95.2,63,850.54,1.6,38.1,60.3,98.4,63,860.19,6.3,34.9,58.7,93.7,63,855.19,0.0,39.7,60.3,100.0,63,845.11,3.2,50.8,46.0,96.8
