,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA code,Congressional District,
6080301,BARTOW COUNTY,ADAIRSVILLE M,225,828.36,12.4,65.8,21.8,87.6,230,830.40,12.6,60.9,26.5,87.4,226,833.38,11.5,57.1,31.4,88.5,232,832.19,22.0,46.1,31.9,78.0,232,811.86,39.7,41.8,18.5,60.3,11,11th,
6090296,BEN HILL COUNTY,BEN HILL CO M,234,821.13,14.5,74.4,11.1,85.5,234,830.50,9.4,63.7,26.9,90.6,233,829.73,13.3,61.4,25.3,86.7,236,819.79,28.8,51.7,19.5,71.2,232,816.54,34.1,42.7,23.3,65.9,3,8th,
6100194,BERRIEN COUNTY,BERRIEN MIDDL,235,831.77,7.2,67.7,25.1,92.8,234,842.65,6.4,53.4,40.2,93.6,233,832.41,10.3,65.7,24.0,89.7,235,841.33,15.3,45.1,39.6,84.7,234,831.28,23.5,44.4,32.1,76.5,3,1st,
6110107,BIBB COUNTY,BLOOMFIELD MI,157,812.14,28.7,65.6,5.7,71.3,158,821.66,13.3,77.8,8.9,86.7,160,810.91,31.9,61.9,6.3,68.1,160,799.73,56.3,38.1,5.6,43.8,161,785.41,73.9,20.5,5.6,26.1,8,8th,
6110108,BIBB COUNTY,BALLARD HUDSO,156,812.17,25.6,70.5,3.8,74.4,156,821.31,14.7,74.4,10.9,85.3,153,818.65,23.5,63.4,13.1,76.5,156,807.78,41.7,50.6,7.7,58.3,157,812.83,35.0,48.4,16.6,65.0,8,8th,
6110205,BIBB COUNTY,HOWARD MIDDLE,346,828.34,10.4,68.2,21.4,89.6,345,837.91,9.9,52.8,37.4,90.1,341,840.97,11.1,49.0,39.9,88.9,346,829.59,22.3,48.6,29.2,77.7,346,831.65,30.1,34.4,35.5,69.9,8,8th,
6110298,BIBB COUNTY,MILLER MAGNET,275,821.61,14.5,71.3,14.2,85.5,277,832.78,7.9,64.3,27.8,92.1,277,828.99,14.1,61.0,24.9,85.9,282,817.26,36.9,44.0,19.1,63.1,283,828.97,27.6,41.3,31.1,72.4,8,8th,
6110305,BIBB COUNTY,RUTLAND MIDDL,341,819.94,15.8,72.7,11.4,84.2,344,825.79,14.0,68.6,17.4,86.0,342,823.74,17.5,63.5,19.0,82.5,339,817.80,31.0,50.7,18.3,69.0,340,815.74,35.6,39.7,24.7,64.4,8,8th,
6110307,BIBB COUNTY,PRICE EDUCATI,6,      --,      --,      --,      --,      --,6,      --,      --,      --,      --,      --,6,      --,      --,      --,      --,      --,5,      --,      --,      --,      --,      --,5,      --,      --,      --,      --,      --,8,8th,
6110407,BIBB COUNTY,MACON HEALTH,1,      --,      --,      --,      --,      --,1,      --,      --,      --,      --,      --,1,      --,      --,      --,      --,      --,1,      --,      --,      --,      --,      --,1,      --,      --,      --,      --,      --,8,8th,
6110505,BIBB COUNTY,WEAVER MIDDLE,270,811.66,27.4,67.4,5.2,72.6,271,820.84,17.7,68.3,14.0,82.3,264,815.68,26.5,62.1,11.4,73.5,269,803.68,53.5,37.5,8.9,46.5,265,788.41,67.2,26.8,6.0,32.8,8,8th,
6115050,BIBB COUNTY,APPLING MIDDL,190,810.64,27.4,68.9,3.7,72.6,191,821.02,16.8,69.6,13.6,83.2,190,816.29,26.3,63.7,10.0,73.7,196,809.95,37.8,49.5,12.8,62.2,191,796.15,65.4,28.3,6.3,34.6,8,8th,
6120112,BLECKLEY COUNTY,BLECKLEY MIDD,185,833.01,4.9,67.0,28.1,95.1,185,845.29,4.3,47.6,48.1,95.7,188,837.81,13.8,51.6,34.6,86.2,188,830.06,21.3,44.1,34.6,78.7,188,814.49,39.4,37.2,23.4,60.6,6,8th,
6130194,BRANTLEY COUNTY,BRANTLEY CO M,260,829.26,4.2,77.7,18.1,95.8,260,839.51,3.8,61.2,35.0,96.2,256,838.39,5.1,62.9,32.0,94.9,261,847.95,9.6,42.5,47.9,90.4,260,855.26,9.6,34.6,55.8,90.4,13,1st,
6140197,BROOKS COUNTY,BROOKS CO MID,169,818.16,14.8,75.7,9.5,85.2,169,828.43,10.1,71.6,18.3,89.9,169,823.37,17.2,66.9,16.0,82.8,169,817.17,24.9,63.3,11.8,75.1,169,794.84,60.4,35.5,4.1,39.6,3,2nd,
6150199,BRYAN COUNTY,RICHMOND MIDD,421,836.66,4.8,66.0,29.2,95.2,420,846.76,4.8,43.1,52.1,95.2,420,850.55,5.2,45.0,49.8,94.8,423,851.43,8.0,39.2,52.7,92.0,422,873.74,7.8,17.1,75.1,92.2,4,1st,
6150402,BRYAN COUNTY,BRYAN CO MIDD,152,824.35,10.5,72.4,17.1,89.5,153,834.56,6.5,62.1,31.4,93.5,150,833.59,9.3,59.3,31.3,90.7,154,831.94,16.2,51.3,32.5,83.8,154,816.56,37.0,40.3,22.7,63.0,4,12th,
6160198,BULLOCH COUNTY,WILLIAM JAMES,166,835.52,4.2,65.7,30.1,95.8,166,845.90,5.4,50.6,44.0,94.6,164,846.13,7.9,50.6,41.5,92.1,166,841.45,9.6,48.8,41.6,90.4,166,835.16,17.5,42.2,40.4,82.5,4,12th,
6160299,BULLOCH COUNTY,LANGSTON CHAP,208,823.78,12.0,73.6,14.4,88.0,208,838.35,6.7,56.7,36.5,93.3,203,830.84,11.3,66.0,22.7,88.7,214,824.74,22.9,55.1,22.0,77.1,213,823.51,25.8,49.8,24.4,74.2,4,12th,
6160300,BULLOCH COUNTY,SOUTHEAST MID,249,833.91,4.8,67.9,27.3,95.2,249,845.74,2.8,46.6,50.6,97.2,246,849.34,2.8,46.3,50.8,97.2,249,841.60,12.0,48.2,39.8,88.0,248,849.11,14.1,37.5,48.4,85.9,4,12th,
6164052,BULLOCH COUNTY,PORTAL MIDDLE,63,821.63,12.7,71.4,15.9,87.3,63,827.70,14.3,65.1,20.6,85.7,63,821.41,17.5,68.3,14.3,82.5,63,823.71,31.7,42.9,25.4,68.3,62,801.05,51.6,37.1,11.3,48.4,4,12th,
6170188,BURKE COUNTY,BURKE CO MIDD,293,819.75,16.0,74.1,9.9,84.0,294,829.65,10.5,63.9,25.5,89.5,293,829.52,16.0,58.4,25.6,84.0,297,821.22,27.6,50.8,21.5,72.4,297,821.28,33.3,38.7,27.9,66.7,1,12th,
6180100,BUTTS COUNTY,HENDERSON MID,265,824.73,11.7,74.3,14.0,88.3,266,834.67,8.3,62.8,28.9,91.7,257,832.32,5.1,72.4,22.6,94.9,266,828.72,19.9,51.9,28.2,80.1,265,822.40,32.5,38.1,29.4,67.5,5,8th,
6194050,CALHOUN COUNTY,CALHOUN CO MI,53,826.58,3.8,77.4,18.9,96.2,54,836.89,3.7,64.8,31.5,96.3,54,840.65,3.7,59.3,37.0,96.3,54,850.50,5.6,53.7,40.7,94.4,54,823.19,25.9,46.3,27.8,74.1,15,2nd,
6200105,CAMDEN COUNTY,SAINT MARYS M,326,835.93,7.1,60.7,32.2,92.9,323,842.42,5.3,48.9,45.8,94.7,319,854.33,5.6,41.7,52.7,94.4,329,842.11,14.0,41.3,44.7,86.0,327,840.19,21.4,35.5,43.1,78.6,4,1st,
6200182,CAMDEN COUNTY,CAMDEN MIDDLE,369,829.36,6.0,73.4,20.6,94.0,370,837.34,8.4,56.8,34.9,91.6,367,839.53,8.7,54.5,36.8,91.3,370,834.24,15.7,49.7,34.6,84.3,371,825.32,30.5,41.0,28.6,69.5,4,1st,
6210102,CANDLER COUNTY,METTER MIDDLE,152,825.49,11.8,71.7,16.4,88.2,152,831.79,9.9,63.2,27.0,90.1,150,832.56,12.0,60.7,27.3,88.0,156,832.83,16.7,50.6,32.7,83.3,156,826.53,31.4,34.6,34.0,68.6,4,12th,
6220101,CARROLL COUNTY,JONESVILLE MI,90,827.69,4.4,77.8,17.8,95.6,89,845.17,1.1,57.3,41.6,98.9,90,830.52,15.6,57.8,26.7,84.4,92,839.54,13.0,48.9,38.0,87.0,92,842.20,18.5,34.8,46.7,81.5,16,3rd,
6220102,CARROLL COUNTY,TEMPLE MIDDLE,163,820.58,12.3,79.1,8.6,87.7,165,827.41,13.3,64.2,22.4,86.7,163,819.37,23.3,62.0,14.7,76.7,169,811.67,41.4,45.0,13.6,58.6,167,805.38,47.9,36.5,15.6,52.1,16,11th,
6220112,CARROLL COUNTY,KIDSPEACE,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,3,      --,      --,      --,      --,      --,16,3rd,
6220177,CARROLL COUNTY,CENTRAL MIDDL,276,828.86,8.7,71.4,19.9,91.3,277,840.51,6.9,51.3,41.9,93.1,270,832.97,10.4,64.4,25.2,89.6,284,838.59,15.5,44.4,40.1,84.5,284,838.86,23.2,37.0,39.8,76.8,16,3rd,
6220198,CARROLL COUNTY,BAY SPRINGS M,254,827.99,11.4,65.0,23.6,88.6,253,844.26,11.1,39.9,49.0,88.9,247,832.31,14.2,60.7,25.1,85.8,257,824.06,29.2,44.0,26.8,70.8,257,829.96,30.4,34.6,35.0,69.6,16,3rd,
6220208,CARROLL COUNTY,MT ZION MIDDL,99,822.73,14.1,71.7,14.1,85.9,98,829.23,12.2,60.2,27.6,87.8,99,824.66,17.2,68.7,14.1,82.8,103,819.49,31.1,48.5,20.4,68.9,103,829.45,32.0,27.2,40.8,68.0,16,11th,
6220305,CARROLL COUNTY,VILLA RICA MI,156,827.04,10.3,73.1,16.7,89.7,156,836.47,7.7,57.7,34.6,92.3,154,833.07,11.0,61.0,27.9,89.0,159,823.83,20.8,55.3,23.9,79.2,159,821.34,32.7,41.5,25.8,67.3,16,11th,
6230205,CATOOSA COUNTY,HERITAGE MIDD,343,833.36,5.8,67.1,27.1,94.2,341,845.47,5.3,44.0,50.7,94.7,352,839.09,8.2,57.4,34.4,91.8,350,835.20,18.3,46.9,34.9,81.7,346,857.29,13.0,28.3,58.7,87.0,11,9th,
6232552,CATOOSA COUNTY,LAKEVIEW MIDD,238,827.34,8.4,73.1,18.5,91.6,238,840.26,3.8,54.6,41.6,96.2,238,833.63,10.1,63.4,26.5,89.9,232,841.13,13.8,42.7,43.5,86.2,232,832.53,26.7,37.5,35.8,73.3,11,9th,
6235052,CATOOSA COUNTY,RINGGOLD MIDD,220,832.51,6.4,67.7,25.9,93.6,225,837.77,10.7,50.7,38.7,89.3,224,838.05,9.4,54.0,36.6,90.6,228,837.45,13.6,48.7,37.7,86.4,228,836.51,19.7,37.7,42.5,80.3,11,9th,
6240112,CHARLTON COUNTY,BETHUNE MIDDL,139,824.84,11.5,69.1,19.4,88.5,139,835.01,9.4,59.7,30.9,90.6,137,836.45,8.8,59.1,32.1,91.2,141,830.70,15.6,53.9,30.5,84.4,142,820.56,33.1,40.1,26.8,66.9,13,1st,
6250107,CHATHAM COUNTY,UHS OF SAVANN,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,4,12th,
6250192,CHATHAM COUNTY,GARRISON ELEM,81,842.35,2.5,59.3,38.3,97.5,80,849.56,0.0,50.0,50.0,100.0,81,856.98,1.2,37.0,61.7,98.8,81,846.85,4.9,46.9,48.1,95.1,81,849.20,9.9,32.1,58.0,90.1,4,12th,
6250199,CHATHAM COUNTY,W CHATHAM MID,330,820.36,20.0,67.0,13.0,80.0,330,824.18,17.3,64.5,18.2,82.7,332,823.93,18.4,64.5,17.2,81.6,333,811.90,38.4,44.7,16.8,61.6,331,812.53,41.4,36.9,21.8,58.6,4,12th,
6250201,CHATHAM COUNTY,DERENNE MIDDL,235,811.77,33.2,63.4,3.4,66.8,234,820.74,15.8,70.5,13.7,84.2,228,815.72,24.1,62.7,13.2,75.9,236,806.35,44.5,44.9,10.6,55.5,232,796.71,58.6,34.5,6.9,41.4,4,12th,
6250211,CHATHAM COUNTY,GODLEY STATIO,110,825.20,10.0,73.6,16.4,90.0,110,833.97,9.1,60.0,30.9,90.9,107,829.29,13.1,62.6,24.3,86.9,111,827.32,20.7,55.0,24.3,79.3,111,832.77,23.4,41.4,35.1,76.6,4,,
6250299,CHATHAM COUNTY,SOUTHWEST MID,244,825.50,12.7,71.3,16.0,87.3,243,835.55,8.2,58.4,33.3,91.8,236,836.87,12.3,53.4,34.3,87.7,246,829.30,21.5,49.2,29.3,78.5,245,810.62,38.8,43.7,17.6,61.2,4,1st,
6250301,CHATHAM COUNTY,MYERS MIDDLE,183,815.39,20.2,73.8,6.0,79.8,180,823.33,12.2,72.2,15.6,87.8,178,815.65,23.6,66.3,10.1,76.4,184,806.97,39.7,51.1,9.2,60.3,184,797.49,57.1,33.2,9.8,42.9,4,12th,
6250311,CHATHAM COUNTY,COASTAL MIDDL,213,836.25,6.1,62.9,31.0,93.9,213,846.85,6.1,43.7,50.2,93.9,208,847.40,7.2,48.6,44.2,92.8,215,837.89,15.8,46.0,38.1,84.2,215,844.44,16.3,35.3,48.4,83.7,4,1st,
6250400,CHATHAM COUNTY,OGLETHORPE CH,128,841.54,2.3,60.2,37.5,97.7,129,850.83,0.8,44.2,55.0,99.2,125,851.58,2.4,48.0,49.6,97.6,128,839.77,8.6,53.1,38.3,91.4,127,847.91,10.2,40.2,49.6,89.8,4,12th,
6252060,CHATHAM COUNTY,HUBERT MIDDLE,208,809.99,27.4,69.2,3.4,72.6,206,819.01,20.4,68.4,11.2,79.6,209,814.12,28.2,60.8,11.0,71.8,209,802.62,48.8,45.0,6.2,51.2,208,793.50,60.6,34.6,4.8,39.4,4,12th,
6253060,CHATHAM COUNTY,ISLE OF HOPE,45,827.36,2.2,77.8,20.0,97.8,44,836.41,0.0,72.7,27.3,100.0,41,836.49,7.3,63.4,29.3,92.7,46,826.70,17.4,60.9,21.7,82.6,45,808.00,37.8,53.3,8.9,62.2,4,1st,
6254054,CHATHAM COUNTY,ELLIS ELEMENT,42,847.36,2.4,50.0,47.6,97.6,42,845.62,2.4,45.2,52.4,97.6,42,842.29,2.4,61.9,35.7,97.6,42,852.95,2.4,40.5,57.1,97.6,42,853.19,7.1,38.1,54.8,92.9,4,12th,
6254058,CHATHAM COUNTY,HESSE ELEMENT,68,829.91,10.3,66.2,23.5,89.7,67,837.10,9.0,46.3,44.8,91.0,67,837.54,11.9,58.2,29.9,88.1,70,837.87,18.6,38.6,42.9,81.4,69,819.84,34.8,36.2,29.0,65.2,4,1st,
6255050,CHATHAM COUNTY,BARTLETT MIDD,294,820.83,15.6,70.1,14.3,84.4,293,829.52,13.7,60.8,25.6,86.3,292,829.90,16.8,56.8,26.4,83.2,291,825.04,31.6,40.9,27.5,68.4,287,833.06,31.7,35.2,33.1,68.3,4,12th,
6255062,CHATHAM COUNTY,MERCER MIDDLE,232,811.43,28.9,66.8,4.3,71.1,233,817.62,20.6,63.9,15.5,79.4,233,810.66,36.9,53.2,9.9,63.1,232,802.06,53.0,37.9,9.1,47.0,233,797.00,61.8,28.3,9.9,38.2,4,12th,
6260106,CHATTAHOOCHEE COUNTY,CHATTAHOO MID,47,828.89,4.3,72.3,23.4,95.7,47,840.77,2.1,59.6,38.3,97.9,47,827.66,10.6,61.7,27.7,89.4,47,814.70,34.0,53.2,12.8,66.0,47,801.02,59.6,31.9,8.5,40.4,2,2nd,
6270111,CHATTOOGA COUNTY,CROSSROADS AL,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,11,11th,
6272050,CHATTOOGA COUNTY,LYERLY ELEMEN,42,836.81,4.8,57.1,38.1,95.2,42,844.64,2.4,54.8,42.9,97.6,42,844.67,2.4,52.4,45.2,97.6,42,832.21,14.3,57.1,28.6,85.7,42,817.95,33.3,50.0,16.7,66.7,11,11th,
6272052,CHATTOOGA COUNTY,SUMMERVILLE M,120,822.93,11.7,74.2,14.2,88.3,121,822.53,17.4,64.5,18.2,82.6,118,818.76,26.3,56.8,16.9,73.7,125,826.74,28.0,45.6,26.4,72.0,125,804.30,52.8,27.2,20.0,47.2,11,11th,
6273050,CHATTOOGA COUNTY,MENLO ELEMENT,36,826.08,2.8,86.1,11.1,97.2,36,838.42,2.8,63.9,33.3,97.2,36,825.44,11.1,75.0,13.9,88.9,36,827.89,13.9,66.7,19.4,86.1,36,823.31,25.0,52.8,22.2,75.0,11,11th,
6280113,CHEROKEE COUNTY,MILL CREEK MI,362,839.64,2.8,58.0,39.2,97.2,362,856.96,4.1,32.3,63.5,95.9,362,852.52,2.2,44.5,53.3,97.8,364,857.22,5.8,34.1,60.2,94.2,364,864.25,8.2,26.4,65.4,91.8,9,6th,
6280181,CHEROKEE COUNTY,BOOTH MIDDLE,579,846.26,1.9,48.0,50.1,98.1,580,859.25,2.1,31.2,66.7,97.9,570,853.45,3.2,45.3,51.6,96.8,584,859.78,5.0,30.7,64.4,95.0,583,882.45,4.5,15.6,79.9,95.5,9,6th,
6280187,CHEROKEE COUNTY,RUSK MIDDLE S,414,839.36,3.1,58.9,37.9,96.9,414,851.63,3.4,38.2,58.5,96.6,413,852.21,2.9,46.5,50.6,97.1,421,847.00,7.8,46.1,46.1,92.2,419,854.36,13.8,27.2,58.9,86.2,9,6th,
6280205,CHEROKEE COUNTY,FREEDOM MIDDL,336,842.67,1.5,56.8,41.7,98.5,339,854.98,2.7,33.3,64.0,97.3,335,857.98,3.9,37.0,59.1,96.1,340,856.23,5.3,34.7,60.0,94.7,340,859.64,7.1,31.8,61.2,92.9,9,6th,
6280287,CHEROKEE COUNTY,TEASLEY MIDDL,359,833.36,4.2,69.9,25.9,95.8,357,843.36,3.9,47.9,48.2,96.1,351,845.34,6.6,44.7,48.7,93.4,370,836.95,14.9,46.5,38.6,85.1,370,825.19,24.6,44.3,31.1,75.4,9,6th,
6280297,CHEROKEE COUNTY,WOODSTOCK MID,354,840.48,2.3,59.0,38.7,97.7,354,859.61,0.6,33.6,65.8,99.4,353,859.69,2.0,33.7,64.3,98.0,357,856.44,5.9,39.5,54.6,94.1,356,874.34,5.6,20.2,74.2,94.4,9,6th,
6280305,CHEROKEE COUNTY,CREEKLAND MID,428,838.95,2.8,62.6,34.6,97.2,433,854.44,3.2,36.7,60.0,96.8,431,847.13,7.4,46.4,46.2,92.6,430,850.33,9.8,37.7,52.6,90.2,428,850.14,16.4,32.0,51.6,83.6,9,6th,
6290196,CLARKE COUNTY,COILE MIDDLE,159,818.86,16.4,73.0,10.7,83.6,159,829.32,8.8,67.3,23.9,91.2,160,833.18,13.8,54.4,31.9,86.3,165,817.52,34.5,44.8,20.6,65.5,164,823.31,31.7,43.9,24.4,68.3,10,10th,
6290296,CLARKE COUNTY,BURNEY HARRIS,173,818.92,17.9,69.4,12.7,82.1,173,830.30,15.0,60.7,24.3,85.0,172,818.98,23.8,63.4,12.8,76.2,180,813.29,40.0,45.0,15.0,60.0,178,819.02,38.2,34.8,27.0,61.8,10,10th,
6291058,CLARKE COUNTY,CLARKE MIDDLE,189,828.00,22.2,46.0,31.7,77.8,189,838.13,14.8,41.3,43.9,85.2,188,841.15,18.6,41.0,40.4,81.4,188,831.86,34.0,30.9,35.1,66.0,186,828.40,35.5,25.8,38.7,64.5,10,10th,
6295058,CLARKE COUNTY,HILSMAN MIDDL,195,828.55,10.8,67.2,22.1,89.2,197,836.18,9.1,60.9,29.9,90.9,195,838.73,15.9,50.3,33.8,84.1,201,827.75,33.3,37.8,28.9,66.7,200,842.35,28.0,25.0,47.0,72.0,10,10th,
6300104,CLAY COUNTY,CLAY COUNTY M,25,822.04,12.0,80.0,8.0,88.0,25,833.80,24.0,40.0,36.0,76.0,25,832.64,16.0,52.0,32.0,84.0,25,802.08,52.0,48.0,0.0,48.0,25,801.20,44.0,48.0,8.0,56.0,2,2nd,
6310100,CLAYTON COUNTY,M D ROBERTS M,221,831.57,9.0,62.4,28.5,91.0,220,842.78,5.5,46.4,48.2,94.5,219,841.83,12.3,49.8,37.9,87.7,222,834.57,18.5,46.8,34.7,81.5,222,822.00,29.3,47.3,23.4,70.7,7,13th,
6310106,CLAYTON COUNTY,JONESBORO MID,227,818.71,18.5,70.9,10.6,81.5,224,829.08,13.8,58.9,27.2,86.2,226,827.26,17.3,57.5,25.2,82.7,224,813.43,35.3,52.2,12.5,64.7,223,804.08,52.9,29.1,17.9,47.1,7,13th,
6310107,CLAYTON COUNTY,SEQUOYAH MIDD,270,817.96,15.9,75.6,8.5,84.1,270,828.26,12.2,63.0,24.8,87.8,267,823.52,15.7,66.3,18.0,84.3,271,811.77,36.9,52.0,11.1,63.1,269,787.39,68.4,28.6,3.0,31.6,7,13th,
6310114,CLAYTON COUNTY,ELITE SCHOLAR,74,834.97,1.4,71.6,27.0,98.6,75,845.49,1.3,52.0,46.7,98.7,74,845.78,2.7,66.2,31.1,97.3,75,839.13,5.3,58.7,36.0,94.7,75,850.15,6.7,40.0,53.3,93.3,7,13th,
6310116,CLAYTON COUNTY,EDDIE WHITE A,199,822.27,15.1,70.9,14.1,84.9,199,834.16,8.5,59.8,31.7,91.5,199,822.90,22.6,54.3,23.1,77.4,199,815.27,34.2,50.8,15.1,65.8,195,804.99,47.7,37.4,14.9,52.3,7,13th,
6310117,CLAYTON COUNTY,MORROW MIDDLE,237,819.00,16.0,73.4,10.5,84.0,237,831.62,8.9,66.7,24.5,91.1,236,825.67,16.9,60.6,22.5,83.1,238,818.00,30.7,52.9,16.4,69.3,236,804.74,53.8,30.5,15.7,46.2,7,13th,
6310174,CLAYTON COUNTY,MUNDY S MIDDL,268,821.92,11.9,78.0,10.1,88.1,270,832.65,7.8,66.3,25.9,92.2,268,830.36,10.8,67.2,22.0,89.2,269,818.16,23.0,63.6,13.4,77.0,269,799.02,55.8,34.9,9.3,44.2,7,13th,
6310177,CLAYTON COUNTY,ADAMSON MIDDL,198,821.46,13.6,76.3,10.1,86.4,198,832.28,7.1,67.2,25.8,92.9,198,826.32,14.6,66.2,19.2,85.4,198,813.66,31.8,57.6,10.6,68.2,199,793.78,61.3,35.2,3.5,38.7,7,13th,
