Key,System name,School name,N tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N tested Science,Science: Mean Scale Score,Science: % Does not meet standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Does not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,RESA code,Congressional District
6070298,BARROW COUNTY,YARGO ELEMENT,125,836.50,4.8,60.0,35.2,95.2,125,839.21,1.6,64.0,34.4,98.4,126,843.28,6.3,49.2,44.4,93.7,129,841.19,15.5,37.2,47.3,84.5,129,835.91,9.3,57.4,33.3,90.7,10,7th
6071050,BARROW COUNTY,AUBURN ELEMEN,71,830.03,11.3,54.9,33.8,88.7,73,833.26,12.3,56.2,31.5,87.7,73,841.38,11.0,43.8,45.2,89.0,74,820.11,25.7,48.6,25.7,74.3,73,807.25,37.0,57.5,5.5,63.0,10,7th
6074050,BARROW COUNTY,HOLSENBECK EL,121,827.85,13.2,59.5,27.3,86.8,122,830.80,11.5,63.1,25.4,88.5,117,829.09,17.9,51.3,30.8,82.1,123,823.36,24.4,48.0,27.6,75.6,123,814.20,35.0,52.0,13.0,65.0,10,7th
6075050,BARROW COUNTY,STATHAM ELEME,125,828.11,8.8,71.2,20.0,91.2,124,835.42,4.0,67.7,28.2,96.0,124,845.69,5.6,51.6,42.7,94.4,124,826.77,19.4,52.4,28.2,80.6,123,820.31,23.6,57.7,18.7,76.4,10,7th
6080104,BARTOW COUNTY,CLEAR CREEK E,94,838.71,7.4,43.6,48.9,92.6,95,834.26,7.4,60.0,32.6,92.6,95,842.40,7.4,49.5,43.2,92.6,98,824.05,20.4,50.0,29.6,79.6,98,814.54,31.6,55.1,13.3,68.4,11,11th
6080106,BARTOW COUNTY,PINE LOG ELEM,79,837.37,8.9,55.7,35.4,91.1,79,839.66,5.1,57.0,38.0,94.9,77,855.48,5.2,35.1,59.7,94.8,80,828.41,25.0,42.5,32.5,75.0,80,817.76,25.0,61.3,13.8,75.0,11,11th
6080107,BARTOW COUNTY,EUHARLEE ELEM,118,834.16,5.9,61.9,32.2,94.1,118,838.25,5.9,61.0,33.1,94.1,117,848.25,3.4,47.9,48.7,96.6,118,827.31,21.2,50.0,28.8,78.8,118,810.87,33.9,57.6,8.5,66.1,11,11th
6080175,BARTOW COUNTY,WHITE ELEMENT,97,841.12,6.2,51.5,42.3,93.8,96,848.48,2.1,47.9,50.0,97.9,96,878.66,0.0,16.7,83.3,100.0,98,847.68,12.2,29.6,58.2,87.8,99,821.47,27.3,51.5,21.2,72.7,11,11th
6080177,BARTOW COUNTY,ADAIRSVILLE E,123,829.46,13.8,58.5,27.6,86.2,121,829.50,10.7,65.3,24.0,89.3,121,848.26,9.9,37.2,52.9,90.1,125,814.86,34.4,38.4,27.2,65.6,125,811.86,39.2,45.6,15.2,60.8,11,11th
6080186,BARTOW COUNTY,MISSION ROAD,81,833.43,2.5,69.1,28.4,97.5,81,836.90,4.9,63.0,32.1,95.1,79,832.37,10.1,55.7,34.2,89.9,81,824.52,14.8,64.2,21.0,85.2,81,821.80,17.3,69.1,13.6,82.7,11,11th
6080196,BARTOW COUNTY,ALLATOONA ELE,72,834.65,8.3,54.2,37.5,91.7,72,837.69,9.7,54.2,36.1,90.3,72,845.81,9.7,43.1,47.2,90.3,74,813.15,27.0,58.1,14.9,73.0,74,806.66,40.5,56.8,2.7,59.5,11,11th
6080296,BARTOW COUNTY,KINGSTON ELEM,95,835.26,7.4,55.8,36.8,92.6,94,841.33,6.4,56.4,37.2,93.6,92,848.84,6.5,44.6,48.9,93.5,98,815.42,31.6,46.9,21.4,68.4,97,813.68,32.0,58.8,9.3,68.0,11,11th
6080377,BARTOW COUNTY,HAMILTON CROS,105,841.05,6.7,48.6,44.8,93.3,104,841.17,5.8,54.8,39.4,94.2,105,845.49,7.6,41.0,51.4,92.4,111,826.66,25.2,42.3,32.4,74.8,109,817.19,24.8,59.6,15.6,75.2,11,11th
6080396,BARTOW COUNTY,TAYLORSVILLE,84,843.00,6.0,44.0,50.0,94.0,84,845.35,4.8,46.4,48.8,95.2,83,842.66,10.8,41.0,48.2,89.2,86,839.17,17.4,34.9,47.7,82.6,86,829.21,22.1,47.7,30.2,77.9,11,11th
6081052,BARTOW COUNTY,CLOVERLEAF EL,95,839.72,4.2,48.4,47.4,95.8,95,848.13,5.3,38.9,55.8,94.7,95,864.07,5.3,25.3,69.5,94.7,96,828.81,26.0,33.3,40.6,74.0,94,824.77,25.5,45.7,28.7,74.5,11,11th
6082052,BARTOW COUNTY,EMERSON ELEME,61,837.46,3.3,67.2,29.5,96.7,62,839.00,3.2,67.7,29.0,96.8,61,847.64,6.6,42.6,50.8,93.4,62,828.08,19.4,54.8,25.8,80.6,62,811.92,35.5,53.2,11.3,64.5,11,11th
6090111,BEN HILL COUNTY,BEN HILL ELEM,257,824.74,13.6,65.8,20.6,86.4,260,829.47,10.8,64.6,24.6,89.2,257,829.47,19.5,50.6,30.0,80.5,262,819.01,35.9,35.9,28.2,64.1,262,820.40,33.2,43.5,23.3,66.8,3,8th
6100195,BERRIEN COUNTY,BERRIEN ELEME,249,832.49,8.0,61.8,30.1,92.0,251,838.09,5.6,61.8,32.7,94.4,246,841.86,11.8,44.7,43.5,88.2,252,836.37,15.5,45.6,38.9,84.5,252,827.00,20.2,52.4,27.4,79.8,3,1st
6110103,BIBB COUNTY,SKYVIEW ELEME,76,827.09,10.5,69.7,19.7,89.5,76,837.47,5.3,61.8,32.9,94.7,76,832.49,9.2,65.8,25.0,90.8,77,810.43,39.0,44.2,16.9,61.0,77,801.97,57.1,37.7,5.2,42.9,8,8th
6110104,BIBB COUNTY,BURDELL ELEME,85,817.11,21.2,61.2,17.6,78.8,88,824.48,17.0,62.5,20.5,83.0,84,841.76,9.5,47.6,42.9,90.5,91,797.64,51.6,40.7,7.7,48.4,91,802.53,50.5,42.9,6.6,49.5,8,8th
6110109,BIBB COUNTY,BRUCE ELEMENT,61,810.54,27.9,63.9,8.2,72.1,60,819.17,20.0,68.3,11.7,80.0,61,813.38,31.1,54.1,14.8,68.9,61,795.48,47.5,41.0,11.5,52.5,60,793.87,60.0,40.0,0.0,40.0,8,8th
6110203,BIBB COUNTY,VINEVILLE ACA,67,825.69,9.0,74.6,16.4,91.0,67,835.70,1.5,73.1,25.4,98.5,67,834.33,10.4,56.7,32.8,89.6,67,814.96,38.8,40.3,20.9,61.2,67,817.90,26.9,62.7,10.4,73.1,8,8th
6110307,BIBB COUNTY,PRICE EDUCATI,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,4,      --,      --,      --,      --,      --,8,8th
6110383,BIBB COUNTY,WILLIAMS ELEM,41,817.34,24.4,61.0,14.6,75.6,42,823.12,9.5,71.4,19.0,90.5,41,818.15,29.3,48.8,22.0,70.7,43,794.40,55.8,39.5,4.7,44.2,43,792.86,65.1,34.9,0.0,34.9,8,8th
6110405,BIBB COUNTY,ROSA TAYLOR E,73,825.96,15.1,61.6,23.3,84.9,75,826.81,18.7,61.3,20.0,81.3,74,817.38,31.1,47.3,21.6,68.9,75,809.44,41.3,44.0,14.7,58.7,75,804.60,42.7,48.0,9.3,57.3,8,8th
6110407,BIBB COUNTY,MACON HEALTH,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,2,      --,      --,      --,      --,      --,8,8th
6110605,BIBB COUNTY,HERITAGE ELEM,125,831.30,10.4,62.4,27.2,89.6,125,834.73,8.0,59.2,32.8,92.0,124,823.29,16.9,60.5,22.6,83.1,127,819.95,31.5,42.5,26.0,68.5,127,811.94,32.3,57.5,10.2,67.7,8,8th
6110705,BIBB COUNTY,UNION ELEMENT,80,812.26,23.8,67.5,8.8,76.3,81,817.09,21.0,70.4,8.6,79.0,80,814.94,27.5,56.3,16.3,72.5,89,783.44,68.5,27.0,4.5,31.5,88,793.58,64.8,31.8,3.4,35.2,8,8th
6110805,BIBB COUNTY,RILEY ELEMENT,66,811.65,24.2,69.7,6.1,75.8,68,815.87,25.0,66.2,8.8,75.0,65,812.38,38.5,41.5,20.0,61.5,71,787.46,63.4,33.8,2.8,36.6,71,799.37,50.7,47.9,1.4,49.3,8,8th
6110905,BIBB COUNTY,MORGAN ELEMEN,58,821.52,17.2,62.1,20.7,82.8,58,829.88,8.6,69.0,22.4,91.4,58,817.98,25.9,55.2,19.0,74.1,61,797.21,49.2,47.5,3.3,50.8,60,795.40,58.3,41.7,0.0,41.7,8,8th
6111005,BIBB COUNTY,BROOKDALE ELE,73,812.36,31.5,58.9,9.6,68.5,72,821.22,19.4,66.7,13.9,80.6,71,810.28,35.2,53.5,11.3,64.8,74,793.38,54.1,36.5,9.5,45.9,74,795.41,60.8,39.2,0.0,39.2,8,8th
6111050,BIBB COUNTY,ALEXANDER II,71,845.55,0.0,50.7,49.3,100.0,72,849.60,1.4,50.0,48.6,98.6,71,869.93,0.0,29.6,70.4,100.0,71,871.76,2.8,26.8,70.4,97.2,71,841.77,5.6,46.5,47.9,94.4,8,8th
6111054,BIBB COUNTY,BERND ELEMENT,74,821.49,8.1,83.8,8.1,91.9,73,828.97,11.0,75.3,13.7,89.0,74,819.99,17.6,70.3,12.2,82.4,73,807.05,37.0,54.8,8.2,63.0,73,804.33,46.6,49.3,4.1,53.4,8,8th
6111058,BIBB COUNTY,KING DANFORTH,52,804.13,38.5,61.5,0.0,61.5,52,817.38,21.2,73.1,5.8,78.8,51,805.33,39.2,51.0,9.8,60.8,54,782.04,75.9,22.2,1.9,24.1,54,785.85,75.9,24.1,0.0,24.1,8,8th
6111067,BIBB COUNTY,PORTER ELEMEN,88,832.09,14.8,51.1,34.1,85.2,90,840.87,7.8,51.1,41.1,92.2,86,820.78,37.2,32.6,30.2,62.8,92,816.76,33.7,46.7,19.6,66.3,91,819.95,37.4,41.8,20.9,62.6,8,8th
6111105,BIBB COUNTY,SPRINGDALE EL,95,843.21,3.2,49.5,47.4,96.8,95,851.87,0.0,44.2,55.8,100.0,97,862.99,2.1,42.3,55.7,97.9,99,847.25,8.1,46.5,45.5,91.9,98,835.26,12.2,49.0,38.8,87.8,8,8th
6111205,BIBB COUNTY,CARTER ELEMEN,81,832.09,8.6,61.7,29.6,91.4,82,832.85,8.5,65.9,25.6,91.5,79,835.35,15.2,48.1,36.7,84.8,83,824.22,27.7,44.6,27.7,72.3,83,821.72,27.7,54.2,18.1,72.3,8,8th
6111305,BIBB COUNTY,LANE ELEMENTA,82,833.00,6.1,65.9,28.0,93.9,82,839.29,4.9,64.6,30.5,95.1,78,811.17,30.8,57.7,11.5,69.2,84,817.65,31.0,46.4,22.6,69.0,84,816.18,31.0,54.8,14.3,69.0,8,8th
6112060,BIBB COUNTY,HARTLEY ELEME,50,810.72,28.0,62.0,10.0,72.0,51,822.92,17.6,64.7,17.6,82.4,51,798.63,56.9,39.2,3.9,43.1,53,776.45,79.2,20.8,0.0,20.8,53,784.64,84.9,15.1,0.0,15.1,8,8th
6113060,BIBB COUNTY,HEARD ELEMENT,108,827.96,12.0,60.2,27.8,88.0,108,834.35,7.4,66.7,25.9,92.6,107,832.23,15.0,51.4,33.6,85.0,109,828.63,24.8,38.5,36.7,75.2,109,814.02,37.6,45.0,17.4,62.4,8,8th
6113062,BIBB COUNTY,JONES ELEMENT,62,815.16,30.6,56.5,12.9,69.4,62,826.08,8.1,75.8,16.1,91.9,61,828.87,14.8,55.7,29.5,85.2,66,796.27,56.1,31.8,12.1,43.9,66,795.44,66.7,28.8,4.5,33.3,8,8th
6113067,BIBB COUNTY,INGRAM PYE EL,86,805.36,41.9,52.3,5.8,58.1,89,812.19,28.1,65.2,6.7,71.9,87,802.53,44.8,48.3,6.9,55.2,92,778.60,77.2,19.6,3.3,22.8,91,784.85,81.3,18.7,0.0,18.7,8,8th
6114052,BIBB COUNTY,BARDEN ELEMEN,69,814.86,27.5,55.1,17.4,72.5,70,824.01,18.6,67.1,14.3,81.4,70,813.99,34.3,50.0,15.7,65.7,69,795.51,60.9,27.5,11.6,39.1,69,794.83,65.2,31.9,2.9,34.8,8,8th
6115054,BIBB COUNTY,BURGHARD ELEM,51,809.67,23.5,74.5,2.0,76.5,53,816.00,18.9,79.2,1.9,81.1,52,818.31,36.5,40.4,23.1,63.5,53,792.87,54.7,41.5,3.8,45.3,51,792.82,66.7,33.3,0.0,33.3,8,8th
6115067,BIBB COUNTY,RICE ELEMENTA,68,814.85,16.2,79.4,4.4,83.8,73,817.95,20.5,74.0,5.5,79.5,71,792.90,59.2,38.0,2.8,40.8,73,790.53,53.4,42.5,4.1,46.6,73,790.64,75.3,21.9,2.7,24.7,8,8th
6120197,BLECKLEY COUNTY,BLECKLEY CO E,174,847.49,0.0,47.7,52.3,100.0,173,853.52,0.6,42.2,57.2,99.4,167,850.71,3.6,44.3,52.1,96.4,175,848.81,8.0,38.3,53.7,92.0,175,833.35,14.3,54.9,30.9,85.7,6,8th
6130110,BRANTLEY COUNTY,ATKINSON ELEM,99,835.80,6.1,58.6,35.4,93.9,100,836.03,6.0,66.0,28.0,94.0,99,838.75,6.1,60.6,33.3,93.9,102,837.67,16.7,41.2,42.2,83.3,101,831.86,15.8,51.5,32.7,84.2,13,1st
6130294,BRANTLEY COUNTY,NAHUNTA ELEME,93,834.11,6.5,59.1,34.4,93.5,93,846.12,3.2,51.6,45.2,96.8,93,836.75,9.7,50.5,39.8,90.3,94,843.22,9.6,48.9,41.5,90.4,94,827.68,17.0,57.4,25.5,83.0,13,1st
6132050,BRANTLEY COUNTY,HOBOKEN ELEME,80,838.60,2.5,63.8,33.8,97.5,78,845.95,2.6,53.8,43.6,97.4,78,850.99,3.8,39.7,56.4,96.2,79,869.84,3.8,16.5,79.7,96.2,79,847.65,7.6,41.8,50.6,92.4,13,1st
6140193,BROOKS COUNTY,QUITMAN ELEME,112,820.45,18.8,65.2,16.1,81.3,112,833.14,12.5,57.1,30.4,87.5,112,823.38,18.8,54.5,26.8,81.3,112,816.87,33.0,45.5,21.4,67.0,112,805.46,42.0,51.8,6.3,58.0,3,2nd
6140393,BROOKS COUNTY,NORTH BROOKS,67,826.21,11.9,64.2,23.9,88.1,66,833.50,6.1,63.6,30.3,93.9,65,835.51,12.3,55.4,32.3,87.7,66,835.32,15.2,48.5,36.4,84.8,66,826.18,15.2,62.1,22.7,84.8,3,2nd
6150101,BRYAN COUNTY,DR GEORGE WA,455,843.57,4.6,48.1,47.3,95.4,453,848.48,3.1,51.7,45.3,96.9,452,862.01,4.9,33.8,61.3,95.1,457,858.09,9.2,33.7,57.1,90.8,457,834.83,15.1,47.7,37.2,84.9,4,1st
6150286,BRYAN COUNTY,BRYAN CO ELEM,137,836.04,7.3,56.9,35.8,92.7,137,838.52,4.4,62.8,32.8,95.6,134,848.33,6.7,44.0,49.3,93.3,145,842.13,17.9,34.5,47.6,82.1,145,829.26,14.5,57.9,27.6,85.5,4,12th
6160100,BULLOCH COUNTY,MILL CREEK EL,75,828.92,5.3,70.7,24.0,94.7,74,831.62,6.8,68.9,24.3,93.2,74,834.30,13.5,54.1,32.4,86.5,77,831.36,20.8,44.2,35.1,79.2,77,811.31,33.8,61.0,5.2,66.2,4,12th
6160107,BULLOCH COUNTY,NEW NEVILS EL,56,837.16,5.4,55.4,39.3,94.6,55,839.96,5.5,50.9,43.6,94.5,55,833.60,12.7,49.1,38.2,87.3,57,834.35,19.3,42.1,38.6,80.7,57,820.07,29.8,50.9,19.3,70.2,4,12th
6160199,BULLOCH COUNTY,LANGSTON C EL,74,824.31,12.2,67.6,20.3,87.8,75,828.60,14.7,62.7,22.7,85.3,74,819.27,24.3,56.8,18.9,75.7,77,810.99,37.7,44.2,18.2,62.3,77,800.25,50.6,45.5,3.9,49.4,4,12th
6160200,BULLOCH COUNTY,BROOKLET ELEM,91,844.90,1.1,52.7,46.2,98.9,90,845.70,3.3,55.6,41.1,96.7,90,837.42,13.3,46.7,40.0,86.7,92,843.28,6.5,47.8,45.7,93.5,92,820.68,25.0,56.5,18.5,75.0,4,12th
6160399,BULLOCH COUNTY,PORTAL ELEMEN,59,838.24,8.5,50.8,40.7,91.5,60,838.25,8.3,56.7,35.0,91.7,59,825.76,25.4,54.2,20.3,74.6,62,824.16,24.2,45.2,30.6,75.8,62,803.24,45.2,50.0,4.8,54.8,4,12th
6162050,BULLOCH COUNTY,BRYANT ELEMEN,108,842.19,3.7,49.1,47.2,96.3,107,842.07,2.8,58.9,38.3,97.2,106,840.86,15.1,45.3,39.6,84.9,109,841.56,16.5,38.5,45.0,83.5,109,816.94,31.2,54.1,14.7,68.8,4,12th
6163054,BULLOCH COUNTY,STILSON ELEME,53,835.70,5.7,54.7,39.6,94.3,52,833.35,5.8,61.5,32.7,94.2,53,820.19,17.0,67.9,15.1,83.0,56,822.20,19.6,60.7,19.6,80.4,56,817.21,30.4,55.4,14.3,69.6,4,12th
6165050,BULLOCH COUNTY,MATTIE LIVELY,81,828.11,9.9,66.7,23.5,90.1,81,835.15,6.2,66.7,27.2,93.8,79,826.22,15.2,62.0,22.8,84.8,82,825.54,22.0,51.2,26.8,78.0,82,806.39,41.5,52.4,6.1,58.5,4,12th
6165054,BULLOCH COUNTY,SALLIE ZETTER,73,838.78,4.1,56.2,39.7,95.9,72,839.32,5.6,61.1,33.3,94.4,71,831.80,15.5,54.9,29.6,84.5,75,856.51,9.3,28.0,62.7,90.7,74,841.82,9.5,40.5,50.0,90.5,4,12th
6170104,BURKE COUNTY,BLAKENEY ELEM,257,824.74,12.8,64.6,22.6,87.2,258,829.76,9.3,67.8,22.9,90.7,255,836.39,13.3,49.4,37.3,86.7,260,811.86,35.0,46.2,18.8,65.0,260,804.56,45.8,48.1,6.2,54.2,1,12th
6170196,BURKE COUNTY,S G A ELEMENT,51,819.10,17.6,66.7,15.7,82.4,51,833.06,11.8,60.8,27.5,88.2,51,830.31,15.7,47.1,37.3,84.3,53,804.04,43.4,43.4,13.2,56.6,53,800.60,56.6,37.7,5.7,43.4,1,12th
6180104,BUTTS COUNTY,HAMPTON L DAU,83,828.33,12.0,61.4,26.5,88.0,83,835.54,12.0,49.4,38.6,88.0,82,835.63,14.6,48.8,36.6,85.4,84,825.27,26.2,47.6,26.2,73.8,84,817.76,23.8,59.5,16.7,76.2,5,8th
6180108,BUTTS COUNTY,STARK ELEMENT,84,824.27,19.0,58.3,22.6,81.0,84,828.55,9.5,69.0,21.4,90.5,82,829.27,14.6,59.8,25.6,85.4,89,813.76,31.5,49.4,19.1,68.5,89,811.25,37.1,51.7,11.2,62.9,5,8th
6180111,BUTTS COUNTY,NEW JACKSON E,77,821.23,14.3,68.8,16.9,85.7,77,823.90,16.9,64.9,18.2,83.1,77,812.26,32.5,50.6,16.9,67.5,77,815.96,28.6,50.6,20.8,71.4,77,804.73,42.9,55.8,1.3,57.1,5,8th
6190179,CALHOUN COUNTY,CALHOUN CO EL,46,819.15,26.1,54.3,19.6,73.9,46,829.72,10.9,65.2,23.9,89.1,46,838.43,10.9,56.5,32.6,89.1,46,817.00,39.1,30.4,30.4,60.9,46,816.98,39.1,34.8,26.1,60.9,15,2nd
6200100,CAMDEN COUNTY,MAMIE LOU GRO,48,839.98,6.3,47.9,45.8,93.8,49,843.45,4.1,57.1,38.8,95.9,48,852.15,8.3,35.4,56.3,91.7,49,837.31,12.2,51.0,36.7,87.8,49,809.43,36.7,57.1,6.1,63.3,4,1st
6200110,CAMDEN COUNTY,SAINT MARYS E,90,839.33,6.7,51.1,42.2,93.3,89,843.66,5.6,53.9,40.4,94.4,88,852.09,8.0,38.6,53.4,92.0,93,842.53,18.3,30.1,51.6,81.7,93,822.11,23.7,55.9,20.4,76.3,4,1st
6200187,CAMDEN COUNTY,CROOKED RIVER,55,843.44,3.6,43.6,52.7,96.4,55,849.27,1.8,50.9,47.3,98.2,55,854.25,3.6,40.0,56.4,96.4,55,853.24,7.3,34.5,58.2,92.7,55,837.58,5.5,63.6,30.9,94.5,4,1st
6200189,CAMDEN COUNTY,MATILDA HARRI,81,844.77,0.0,55.6,44.4,100.0,81,846.64,2.5,48.1,49.4,97.5,83,867.61,2.4,28.9,68.7,97.6,83,840.43,10.8,44.6,44.6,89.2,83,815.18,18.1,74.7,7.2,81.9,4,1st
6200192,CAMDEN COUNTY,WOODBINE ELEM,66,827.15,7.6,75.8,16.7,92.4,66,828.59,7.6,77.3,15.2,92.4,67,839.70,14.9,43.3,41.8,85.1,68,830.71,19.1,45.6,35.3,80.9,68,809.50,41.2,47.1,11.8,58.8,4,1st
6200193,CAMDEN COUNTY,KINGSLAND ELE,73,833.12,11.0,54.8,34.2,89.0,72,837.54,8.3,61.1,30.6,91.7,73,852.77,1.4,43.8,54.8,98.6,75,850.09,13.3,26.7,60.0,86.7,75,823.57,18.7,60.0,21.3,81.3,4,1st
6200195,CAMDEN COUNTY,DAVID L RAINE,90,834.34,5.6,62.2,32.2,94.4,91,837.40,5.5,61.5,33.0,94.5,91,840.33,8.8,49.5,41.8,91.2,93,830.92,21.5,41.9,36.6,78.5,93,817.57,24.7,63.4,11.8,75.3,4,1st
6200197,CAMDEN COUNTY,SUGARMILL ELE,72,839.54,8.3,45.8,45.8,91.7,71,847.54,2.8,47.9,49.3,97.2,70,851.53,4.3,42.9,52.9,95.7,72,835.28,18.1,45.8,36.1,81.9,72,810.00,33.3,58.3,8.3,66.7,4,1st
6200495,CAMDEN COUNTY,MARY LEE CLAR,92,839.00,2.2,59.8,38.0,97.8,90,842.54,5.6,56.7,37.8,94.4,89,848.03,6.7,46.1,47.2,93.3,95,839.99,18.9,38.9,42.1,81.1,95,809.85,31.6,65.3,3.2,68.4,4,1st
6210202,CANDLER COUNTY,METTER INTERM,135,827.11,11.1,61.5,27.4,88.9,135,838.76,3.7,65.9,30.4,96.3,134,856.66,3.7,33.6,62.7,96.3,140,836.87,15.7,47.1,37.1,84.3,140,828.01,20.0,50.7,29.3,80.0,4,12th
